Y,Horizon,FWD,α,β,SE(β),p(β=1),CV RMSE,CV RW RMSE,CV R2,CV RW R2,CV Hit,Hold RMSE,Hold RW RMSE,Hold MAE,Hold RW MAE,Hold R2,Hold RW R2,Hold Hit,Hold DM,Hold DM p,n_train,n_holdout
Y 1m ∆ Salmon (NOK/KG),1m,FWD 1m,0.0026186910476794674,0.7713505682527334,0.0631186338774477,0.0003099953970276286,0.11326496791523992,0.1355367367197606,0.3005714333883127,-0.001535167682408467,0.683076923076923,0.1398182173143829,0.16864245421523782,0.1058671140259285,0.1307051049875766,0.31168218341429643,-0.0013717091138236714,0.6712328767123288,4.070604180023758,3.2796188607402295e-05,812,219
Y 3m ∆ Salmon (NOK/KG),3m,FWD 3m,0.011014965979214544,0.9478474108224295,0.09946088952262475,0.6001790226674995,0.16796916784864355,0.21653899959285478,0.3951919110337031,-0.0051495943385033716,0.7508196721311475,0.21794420938153725,0.30234015013554205,0.17257184685171656,0.25795154613771815,0.4801177767659802,-0.00047432307705008725,0.7523809523809524,2.6354006318690555,0.004516859450103564,812,210
Y 6m ∆ Salmon (NOK/KG),6m,FWD 6m,0.02902006506743239,1.066858869571886,0.11546444717876686,0.5627265418615935,0.18795934948151014,0.26376266475565063,0.45796173986647837,-0.06740373853481607,0.7988929889298892,0.22343567571107664,0.3622337186118584,0.16094364329988486,0.3142267283733311,0.6192540271640804,-0.0007095210327547896,0.8781725888324873,2.3665387338618276,0.009465122950146508,812,197
Y 12m ∆ Salmon (NOK/KG),12m,FWD 12m,0.07603416164916468,1.0152151433289087,0.15118324421153911,0.9198625315141356,0.23447182850129658,0.25674443571104566,0.13929452185409041,-0.031989567338926106,0.6838235294117647,0.2593794640071875,0.21328358636429662,0.21300162902703476,0.16643844956718357,-0.4899702447050158,-0.007444866211792078,0.4678362573099415,-2.2761489337057013,0.9879576778879817,812,171
