Y,Horizon,Nowcast,Loss,CV RMSE,CV RW RMSE,CV MAE,CV RW MAE,CV R2,CV RW R2,CV Hit,Hold RMSE,Hold RW RMSE,Hold MAE,Hold RW MAE,Hold R2,Hold RW R2,Hold Hit,Hold DM,Hold DM p,Hold CW,Hold CW p,Depth,nTrees,n_train,n_holdout
Y 0w ∆ Salmon (NOK/KG),0w,True,MAE,0.06744290824625752,0.06739648035966853,0.05153245583801337,0.05150847214382985,-0.0016759669061419125,-0.00029732852671804366,0.4966711051930759,0.0714526440058242,0.0714018360072492,0.05408083631803778,0.05398156708294468,-0.0017861463853419135,-0.00036196807928479124,0.481981981981982,-0.4417202292664894,0.6704382139827354,,,2,19,834,222
Y 1w ∆ Salmon (NOK/KG),1w,False,MAE,0.09767112740367309,0.09743558329662089,0.07593927455573724,0.07553133267426532,-0.005368578139509639,-0.000525322902961145,0.47005988023952094,0.11418716379594514,0.11419565747771368,0.08737269896624165,0.08739517950551966,-0.00046446195658989,-0.000613304304910578,0.5339366515837104,0.40427418054893777,0.3432019239259413,,,2,19,834,221
Y 2w ∆ Salmon (NOK/KG),2w,False,MAE,0.11122100681630925,0.11095955751732274,0.08670315753451534,0.08621911450036954,-0.0057608619213584955,-0.0010378979302114733,0.4940119760479042,0.13644412845659212,0.1375095262677951,0.10780244569718689,0.10916395357944567,0.014523352976765658,-0.0009265420439368288,0.5363636363636364,2.304200263438946,0.011074372405642983,,,1,1267,834,220
Y 1m ∆ Salmon (NOK/KG),1m,False,MAE,0.13404586928717588,0.13524737520248914,0.10600506076538249,0.10669002273982325,0.015783750489759663,-0.001939159515384592,0.5239520958083832,0.16528403097917907,0.16899289995486425,0.1259703692732108,0.13106871451079619,0.04199210158808664,-0.001484460516735897,0.5504587155963303,2.427215808122431,0.008015485340875593,-0.9256187278316375,0.8221638050199409,7,2089,834,218
Y 3m ∆ Salmon (NOK/KG),3m,False,MAE,0.21522629442206234,0.21615096570286452,0.17438917896516648,0.17412306943533484,0.0006310608707105203,-0.007974512410610757,0.5111821086261981,0.30228454588700676,0.30288290551134417,0.25505120411313265,0.2584639962979983,0.003362471421938684,-0.000587038322796829,0.5741626794258373,0.16289304517939857,0.4353803973509125,-0.23620304411219037,0.5932462263157303,1,2089,834,209
Y 6m ∆ Salmon (NOK/KG),6m,False,MAE,0.26141423447262135,0.26512715241520973,0.21293328922203159,0.21603826296922135,-0.02108654802688914,-0.05029791999819855,0.5935251798561151,0.3653404806360663,0.36308538652997335,0.31653231732017284,0.31531621383097846,-0.013261368494475567,-0.0007910965890651767,0.49489795918367346,-0.28666115993382657,0.6126619364229668,0.28237037193626985,0.3889795059997274,1,19,834,196
Y 12m ∆ Salmon (NOK/KG),12m,False,MAE,0.2558808497008322,0.2542392095530086,0.20354931526656728,0.20569308599402383,-0.0429079924133009,-0.02956906855797814,0.579136690647482,0.22955610569392393,0.21367314552258848,0.17403667564395203,0.16664570734252843,-0.1636006496594149,-0.008152298789637413,0.5352941176470588,-0.5476332995320756,0.7076668774192525,1.9174221168863308,0.028435491222258424,1,1,834,170
