Y,Horizon,Nowcast,CV RMSE,CV RW RMSE,CV R2,CV RW R2,CV Hit,Hold RMSE,Hold RW RMSE,Hold R2,Hold RW R2,Hold Hit,Hold DM,Hold DM p,Depth,n_train,n_holdout
Y 0w ∆ Salmon (NOK/KG),0w,True,0.061854569868712836,0.06739648035966853,0.15744500553613194,-0.00029732852671804366,0.6471371504660453,0.0655744214810122,0.0714018360072492,0.1562625046996189,-0.00036196807928479124,0.6486486486486487,-3.6804782010050756,0.00023279696145771112,4,834,222
Y 1w ∆ Salmon (NOK/KG),1w,False,0.0878483133139358,0.09743558329662089,0.18668316662103202,-0.000525322902961145,0.625748502994012,0.10056937493887078,0.11419565747771368,0.22393410875390918,-0.000613304304910578,0.7013574660633484,-5.222159489349758,1.7684854965596595e-07,7,834,221
Y 2w ∆ Salmon (NOK/KG),2w,False,0.10098087421944288,0.11095955751732274,0.1709144622170975,-0.0010378979302114733,0.6377245508982036,0.11850776301835271,0.1375095262677951,0.2565868572075686,-0.0009265420439368288,0.7136363636363636,-5.0548509657577,4.3072698661005215e-07,7,834,220
Y 1m ∆ Salmon (NOK/KG),1m,False,0.11952259927767284,0.13524737520248914,0.21750113083146716,-0.001939159515384592,0.6706586826347305,0.1420076474978509,0.16899289995486425,0.2928187072332974,-0.001484460516735897,0.7385321100917431,-4.717798217525604,2.384107792811171e-06,3,834,218
Y 3m ∆ Salmon (NOK/KG),3m,False,0.1773755191500989,0.21615096570286452,0.32123014035734265,-0.007974512410610757,0.7156549520766773,0.25268022495437925,0.30288290551134417,0.30361748704044733,-0.000587038322796829,0.722488038277512,-3.523500550787302,0.00042588621173654116,4,834,209
Y 6m ∆ Salmon (NOK/KG),6m,False,0.1967803661648842,0.26512715241520973,0.421414401495097,-0.05029791999819855,0.7535971223021583,0.2771404277356089,0.36308538652997335,0.41692333734964737,-0.0007910965890651767,0.7551020408163265,-3.5074332967792223,0.0004524517691300619,5,834,196
Y 12m ∆ Salmon (NOK/KG),12m,False,0.22462361542356837,0.2542392095530086,0.19632352938332254,-0.02956906855797814,0.6942446043165468,0.19961400421941447,0.21367314552258848,0.1201507439490036,-0.008152298789637413,0.6588235294117647,-2.098706033536633,0.035842822482441625,9,834,170
