Y,Horizon,Alpha,Pooled RMSE,Pooled MAE,Pooled R2,Pooled Hit,RW RMSE,RW MAE,Skill%,MAE Skill%,DM stat (RW),DM p (RW),DM stat (OLS),DM p (OLS),n_obs,n_indep
Y 0w ∆ Salmon (NOK/KG),0w,0.0052140082879996,0.06018641329152338,0.04757398952137185,0.21059943222874533,0.6538461538461539,0.06777263818249898,0.05313361157193008,11.193639637499908,10.46347478757742,5.669975605062196,1.1592632462899482e-08,,,546,546.0
Y 1w ∆ Salmon (NOK/KG),1w,0.0073907220335257,0.09113111877957018,0.07164888375120892,0.240657110592288,0.6666666666666666,0.10464890743755091,0.08201465299218408,12.91727643315096,12.638923488419806,5.766636538556728,6.7793079293584725e-09,,,546,546.0
Y 2w ∆ Salmon (NOK/KG),2w,0.0117681195243499,0.10524727614483508,0.08382126525268917,0.2513521628223322,0.673394495412844,0.12176940719066125,0.09726904421652012,13.56837602071639,13.825342967179054,5.8262971083779425,4.854600840463711e-09,,,545,272.5
Y 1m ∆ Salmon (NOK/KG),1m,0.0117681195243499,0.12364116111421548,0.09794929683415327,0.31234541920835046,0.7016574585635359,0.14944411836922797,0.11996002634408691,17.265957025663425,18.348386692413065,5.673682694893725,1.1387570547963172e-08,-0.018476245103772215,0.5073671363228232,543,135.8
Y 3m ∆ Salmon (NOK/KG),3m,0.0148496826225446,0.18528644249638646,0.15416318963215225,0.427488453968239,0.7359550561797753,0.2461989421867452,0.20076645171702817,24.741170351640186,23.212674072937865,4.2171022072063975,1.4537598408399933e-05,-0.3531959241083385,0.6379593963419932,534,41.1
Y 6m ∆ Salmon (NOK/KG),6m,0.0376493580679246,0.21028511418913431,0.1643128003421926,0.5013176694544469,0.7907869481765835,0.30199291762864716,0.24822549377620193,30.367534497045245,33.8050262918056,4.127087995749846,2.1391174687396807e-05,-0.3031879835872268,0.6190660683863257,521,20.0
Y 12m ∆ Salmon (NOK/KG),12m,0.0954548456661833,0.23200296529488848,0.18435971613460503,0.05812074541513901,0.6424242424242425,0.2534798062322071,0.2028926479542237,8.47280154445289,9.134353564058195,1.52747044556485,0.06364203598182366,-0.02671196314270828,0.5106498707998018,495,9.5
