Y,Horizon,Nowcast,CV RMSE,CV RW RMSE,CV MAE,CV RW MAE,CV R2,CV RW R2,CV Hit,Hold RMSE,Hold RW RMSE,Hold MAE,Hold RW MAE,Hold R2,Hold RW R2,Hold Hit,Hold DM,Hold DM p,Hold DM OLS,Hold DM OLS p,Best Alpha,Nonzero Coefs,Total Features,n_train,n_holdout
Y 0w ∆ Salmon (NOK/KG),0w,True,0.0612334110921385,0.06739648035966853,0.04735356762064213,0.05150847214382985,0.17428232487085382,-0.00029732852671804366,0.62982689747004,0.06316705547188949,0.0714018360072492,0.048998232435044656,0.05398156708294468,0.21707586832094927,-0.00036196807928479124,0.6576576576576577,4.120507636706739,2.673074683467927e-05,,,0.005214008287999685,8,110,834,222
Y 1w ∆ Salmon (NOK/KG),1w,False,0.08630112144806783,0.09743558329662089,0.06800925791066427,0.07553133267426532,0.21507929617030563,-0.000525322902961145,0.6287425149700598,0.09959011517185011,0.11411516555692881,0.07606385967260937,0.08742791342413689,0.2380333394712334,-0.0004381155893622424,0.6576576576576577,4.231757975652383,1.6995091410167364e-05,,,0.007390722033525776,8,110,834,222
Y 2w ∆ Salmon (NOK/KG),2w,False,0.09622081616006763,0.11095955751732274,0.07631373468957406,0.08621911450036954,0.24723544786718554,-0.0010378979302114733,0.6616766467065869,0.11834399088195646,0.13756920096596514,0.09160582963977057,0.10934928445248411,0.25949350634903734,-0.0006423496109548843,0.6742081447963801,4.7535301780590355,1.805488084454275e-06,,,0.011768119524349979,6,110,834,221
Y 1m ∆ Salmon (NOK/KG),1m,False,0.11645288267315192,0.13524737520248914,0.09251524813710972,0.10669002273982325,0.2571790442329742,-0.001939159515384592,0.6916167664670658,0.14150882510210544,0.16864245421523782,0.10537009833143379,0.1307051049875766,0.29493600030410316,-0.0013717091138236714,0.7123287671232876,4.430961669781528,7.426620968090197e-06,-0.6256365314972663,0.7338961030026732,0.011768119524349979,12,110,834,219
Y 3m ∆ Salmon (NOK/KG),3m,False,0.18216410546763745,0.21615096570286452,0.15072079708699349,0.17412306943533484,0.284086088988202,-0.007974512410610757,0.6693290734824281,0.22989471620317434,0.30234015013554205,0.18648173419988825,0.25795154613771815,0.4215414058488349,-0.00047432307705008725,0.7523809523809524,3.1812225803314265,0.000844890962878949,-0.8252248969135045,0.7949075854932197,0.01484968262254465,17,110,834,210
Y 6m ∆ Salmon (NOK/KG),6m,False,0.28334773546732184,0.26512715241520973,0.22820220729303473,0.21603826296922135,-0.19961968301448674,-0.05029791999819855,0.6636690647482014,0.23342128219304,0.3622337186118584,0.1890384426089813,0.3142267283733311,0.584461580191238,-0.0007095210327547896,0.8578680203045685,3.329727194344424,0.0005192886059324513,-0.3694057222629359,0.6438879406446945,0.037649358067924674,5,110,834,197
Y 12m ∆ Salmon (NOK/KG),12m,False,0.21503848969658637,0.2542392095530086,0.1728259277916401,0.20569308599402383,0.2634489895811466,-0.02956906855797814,0.6834532374100719,0.22036112408122346,0.21328358636429662,0.16677711455555422,0.16643844956718357,-0.07541571046408646,-0.007444866211792078,0.5146198830409356,-0.40365262048517786,0.6565122683015145,1.745679838994135,0.04133661942037214,0.09545484566618337,1,110,834,171
