Column,Type,Mean,Std,Skew,Kurt,Min,Max,pct_NaN,pct_Zero
Smolt Release 13m Monthly,Feature,16.3289,1.4127,-1.4725,3.0255,8.7948,18.1344,0.7,0.0
Smolt Release 14m Monthly,Feature,16.3323,1.4146,-1.4791,3.0321,8.7948,18.1344,1.1,0.0
Smolt Release 15m Monthly,Feature,16.33,1.4171,-1.4728,3.0052,8.7948,18.1344,1.5,0.0
Smolt Release 16m Monthly,Feature,16.3282,1.4198,-1.4669,2.9775,8.7948,18.1344,2.0,0.0
Smolt Release 17m Monthly,Feature,16.3244,1.4216,-1.4606,2.9564,8.7948,18.1344,2.4,0.0
Smolt Release 18m Monthly,Feature,16.3204,1.4233,-1.4544,2.9365,8.7948,18.1344,2.7,0.0
ISA Outbreak,Feature,9.9391,6.0228,0.3532,-0.8295,0.0,24.0,22.3,2.0
ISA Outbreak 1m,Feature,9.94,5.9676,0.3499,-0.8446,0.0,24.0,22.6,1.7
ISA Outbreak 3m,Feature,9.9532,5.8248,0.3171,-0.9041,0.0,23.3846,23.5,0.9
Lice Outbreak,Feature,0.163,0.0603,0.6836,0.818,0.0301,0.3914,29.6,0.0
Lice Outbreak 1m,Feature,0.1627,0.0574,0.5267,0.3776,0.0311,0.3601,30.0,0.0
Lice Outbreak 3m,Feature,0.1624,0.0501,0.5735,0.3103,0.0401,0.3173,30.9,0.0
Sea Temp,Feature,9.0266,3.1645,0.2575,-1.2823,3.6966,15.6791,29.6,0.0
Sea Temp 12m Avg,Feature,9.0688,0.295,-0.7889,1.8467,8.112,9.7159,34.5,0.0
∆ EURNOK,Feature,0.0003,0.0121,1.108,12.8438,-0.0749,0.1204,0.0,0.1
∆ EURNOK 1w,Feature,0.0003,0.0121,1.1082,12.8076,-0.0749,0.1204,0.0,0.1
∆ EURNOK 2w,Feature,0.0003,0.0083,1.6034,14.6762,-0.0361,0.0891,0.0,0.2
∆ EURNOK 1m,Feature,0.0003,0.0057,1.0804,9.0764,-0.0254,0.0517,0.0,0.0
∆ EURNOK 3m,Feature,0.0003,0.0028,0.9131,3.0519,-0.0108,0.0159,0.0,0.0
∆ EURNOK 6m,Feature,0.0004,0.0017,0.7752,1.4526,-0.0056,0.0087,0.0,0.0
∆ EURNOK 12m,Feature,0.0004,0.0012,0.1561,0.0742,-0.0039,0.0046,0.0,0.0
CPI NO Monthly,Feature,2.6201,1.4664,0.9812,1.1962,-0.3,7.5,0.0,0.0
NIBOR 3m,Feature,2.5258,1.6211,0.7281,-0.3742,0.19,7.91,0.0,0.0
∆ Shrimp Price (Global) 1m Monthly,Feature,0.0005,0.0483,-0.4892,1.263,-0.1675,0.1329,0.0,0.0
∆ Shrimp Price (Global) 3m Monthly,Feature,0.0023,0.0269,-0.2707,0.3343,-0.0858,0.0707,0.0,0.0
∆ Shrimp Price (Global) 6m Monthly,Feature,0.0022,0.0173,0.3096,0.1658,-0.0476,0.0482,0.0,0.0
∆ Shrimp Price (Global) 12m Monthly,Feature,0.0022,0.0108,0.4368,0.761,-0.0257,0.038,0.0,0.0
∆ Broiler Price (EU) 1w,Feature,0.0016,0.0203,1.1991,9.7612,-0.0944,0.1732,29.7,0.0
∆ Broiler Price (EU) 2w,Feature,0.0016,0.0162,1.2252,11.4746,-0.0808,0.1486,29.8,0.0
∆ Broiler Price (EU) 1m,Feature,0.0016,0.0116,1.1142,8.8082,-0.0539,0.0957,30.0,0.0
∆ Broiler Price (EU) 3m,Feature,0.0017,0.0058,0.6231,2.4246,-0.0224,0.0329,30.9,0.0
∆ Broiler Price (EU) 6m,Feature,0.0018,0.0034,0.5975,0.8791,-0.0108,0.0161,32.1,0.0
