Feature,ADF stat,ADF p,ADF 5% cv,KPSS stat,KPSS p,KPSS 5% cv,Verdict,KPSS p note
∆ Shrimp Price (Global) 1m Monthly,-10.328,0.0,-2.874,0.134,0.1,0.463,I(0),"p-value capped at boundary (true p outside [0.01, 0.10])"
∆ Shrimp Price (Global) 3m Monthly,-5.024,0.0,-2.874,0.064,0.1,0.463,I(0),"p-value capped at boundary (true p outside [0.01, 0.10])"
∆ Shrimp Price (Global) 6m Monthly,-4.067,0.0011,-2.874,0.087,0.1,0.463,I(0),"p-value capped at boundary (true p outside [0.01, 0.10])"
∆ Shrimp Price (Global) 12m Monthly,-3.164,0.0222,-2.874,0.134,0.1,0.463,I(0),"p-value capped at boundary (true p outside [0.01, 0.10])"
∆ Broiler Price (EU) 1w,-16.496,0.0,-2.865,0.037,0.1,0.463,I(0),"p-value capped at boundary (true p outside [0.01, 0.10])"
∆ Broiler Price (EU) 2w,-6.518,0.0,-2.866,0.038,0.1,0.463,I(0),"p-value capped at boundary (true p outside [0.01, 0.10])"
∆ Broiler Price (EU) 1m,-5.906,0.0,-2.866,0.042,0.1,0.463,I(0),"p-value capped at boundary (true p outside [0.01, 0.10])"
∆ Broiler Price (EU) 3m,-4.925,0.0,-2.866,0.064,0.1,0.463,I(0),"p-value capped at boundary (true p outside [0.01, 0.10])"
∆ Broiler Price (EU) 6m,-4.698,0.0001,-2.866,0.117,0.1,0.463,I(0),"p-value capped at boundary (true p outside [0.01, 0.10])"
∆ Broiler Price (EU) 12m,-3.575,0.0063,-2.866,0.248,0.1,0.463,I(0),"p-value capped at boundary (true p outside [0.01, 0.10])"
∆ Pig Price (EU),-15.287,0.0,-2.866,0.054,0.1,0.463,I(0),"p-value capped at boundary (true p outside [0.01, 0.10])"
∆ Pig Price (EU) 1w,-5.136,0.0,-2.866,0.056,0.1,0.463,I(0),"p-value capped at boundary (true p outside [0.01, 0.10])"
∆ Pig Price (EU) 2w,-5.878,0.0,-2.866,0.06,0.1,0.463,I(0),"p-value capped at boundary (true p outside [0.01, 0.10])"
∆ Pig Price (EU) 1m,-4.468,0.0002,-2.866,0.066,0.1,0.463,I(0),"p-value capped at boundary (true p outside [0.01, 0.10])"
∆ Pig Price (EU) 3m,-4.792,0.0001,-2.866,0.088,0.1,0.463,I(0),"p-value capped at boundary (true p outside [0.01, 0.10])"
∆ Pig Price (EU) 6m,-5.069,0.0,-2.866,0.101,0.1,0.463,I(0),"p-value capped at boundary (true p outside [0.01, 0.10])"
∆ Pig Price (EU) 12m,-2.491,0.1178,-2.866,0.129,0.1,0.463,Ambiguous,"p-value capped at boundary (true p outside [0.01, 0.10])"
Meat CPI (EU) Monthly,-2.636,0.0857,-2.874,0.434,0.0627,0.463,Ambiguous,
∆ Fishmeal 1m Monthly,-10.345,0.0,-2.874,0.059,0.1,0.463,I(0),"p-value capped at boundary (true p outside [0.01, 0.10])"
∆ Fishmeal 3m Monthly,-3.992,0.0015,-2.874,0.048,0.1,0.463,I(0),"p-value capped at boundary (true p outside [0.01, 0.10])"
∆ Fishmeal 6m Monthly,-4.541,0.0002,-2.874,0.07,0.1,0.463,I(0),"p-value capped at boundary (true p outside [0.01, 0.10])"
∆ Fishmeal 12m Monthly,-3.593,0.0059,-2.874,0.117,0.1,0.463,I(0),"p-value capped at boundary (true p outside [0.01, 0.10])"
Brent FWD Slope,-3.188,0.0207,-2.864,1.287,0.01,0.463,Ambiguous,"p-value capped at boundary (true p outside [0.01, 0.10])"
Brent FWD Curvature,-4.69,0.0001,-2.864,1.118,0.01,0.463,Ambiguous,"p-value capped at boundary (true p outside [0.01, 0.10])"
Soybean FWD Slope,-4.061,0.0011,-2.864,0.381,0.0852,0.463,I(0),
