Horizon,CatBoost,HTBoost,Lasso,SARIMA,OLS
0w,<0.001,<0.001,<0.001,<0.001,—
1w,<0.001,<0.001,<0.001,0.033,—
2w,<0.001,<0.001,<0.001,0.005,—
1m,<0.001,<0.001,<0.001,<0.001,<0.001
3m,<0.001,<0.001,<0.001,<0.001,0.005
6m,0.008,<0.001,<0.001,<0.001,0.009
12m,0.090,0.308,0.657,0.293,0.988
