Y,Horizon,Nowcast,CV RMSE,CV RW RMSE,CV MAE,CV RW MAE,CV R2,CV RW R2,CV Hit,Hold RMSE,Hold RW RMSE,Hold MAE,Hold RW MAE,Hold R2,Hold RW R2,Hold Hit,Hold DM,Hold DM p,Order,n_train,n_holdout
Y 0w ∆ Salmon (NOK/KG),0w,True,0.06880600701990679,0.06739648035966853,0.05198235498289029,0.05150847214382985,-0.04257518971545138,-0.00029732852671804366,0.3914780292942743,0.06734367794733642,0.0714018360072492,0.05068879491166275,0.05398156708294468,0.11011870770151932,-0.00036196807928479124,0.6171171171171171,3.275858332019006,0.0006115045366794289,"SARIMA(2, 0, 0)x(0, 0, 1, 52)",834,222
Y 1w ∆ Salmon (NOK/KG),1w,False,0.09734689418307921,0.09743558329662089,0.07671627299670832,0.07553133267426532,0.0012952710908670229,-0.000525322902961145,0.3278443113772455,0.11049837037329147,0.11419565747771368,0.08447260246677733,0.08739517950551966,0.06313106080409037,-0.000613304304910578,0.5746606334841629,1.8636437635086076,0.031852052761634206,"SARIMA(2, 0, 0)x(0, 0, 1, 52)",834,221
Y 2w ∆ Salmon (NOK/KG),2w,False,0.10984226184219328,0.11095955751732274,0.08669058426333812,0.08621911450036954,0.019020297225106564,-0.0010378979302114733,0.3248502994011976,0.13223433476331112,0.1375095262677951,0.10308350955624933,0.10916395357944567,0.07439625416574813,-0.0009265420439368288,0.6590909090909091,2.501765783998783,0.006544561206923181,"SARIMA(0, 0, 2)x(0, 0, 1, 52)",834,220
Y 1m ∆ Salmon (NOK/KG),1m,False,0.13516541468330917,0.13524737520248914,0.10753592276936977,0.10669002273982325,-0.000725168172512447,-0.001939159515384592,0.31736526946107785,0.16142157085112424,0.16899289995486425,0.12509207745632708,0.13106871451079619,0.08624359053499764,-0.001484460516735897,0.6100917431192661,3.55338180610631,0.00023328860891758078,"SARIMA(2, 0, 0)x(0, 0, 1, 52)",834,218
Y 3m ∆ Salmon (NOK/KG),3m,False,0.21444328563574683,0.21615096570286452,0.17214171784307897,0.17412306943533484,0.007889386251565988,-0.007974512410610757,0.3019169329073482,0.27496369532250503,0.30288290551134417,0.2339830355958191,0.2584639962979983,0.17537583230496867,-0.000587038322796829,0.7751196172248804,5.814858348250101,1.130913729986563e-08,"SARIMA(0, 0, 2)x(0, 0, 1, 52)",834,209
Y 6m ∆ Salmon (NOK/KG),6m,False,0.2595323701860861,0.26512715241520973,0.21259101689502793,0.21603826296922135,-0.006438302763352555,-0.05029791999819855,0.3129496402877698,0.3187082521718146,0.36308538652997335,0.2764200846752938,0.31531621383097846,0.22889679051777867,-0.0007910965890651767,0.826530612244898,5.488969436048856,6.239484242874124e-08,"SARIMA(0, 0, 2)x(0, 0, 1, 52)",834,196
Y 12m ∆ Salmon (NOK/KG),12m,False,0.2542392095530086,0.2542392095530086,0.20569308599402383,0.20569308599402383,-0.02956906855797814,-0.02956906855797814,0.0,0.20804524479250158,0.21367314552258848,0.1630962946510229,0.16664570734252843,0.04425541642731701,-0.008152298789637413,0.5352941176470588,0.5823642619996054,0.28054874343333036,"SARIMA(0, 0, 2)x(0, 0, 1, 52)",834,170
