Horizon,Fold,Feature,Importance
2w,1,FWD 1m,16.75805
2w,1,∆YOY Total Biomass Monthly,8.718137
2w,1,Sea Temp,7.650567
2w,1,Smolt Release 8m Monthly,6.774278
2w,1,FWD 6m,6.0162606
2w,1,Harvest Intensity 3m Monthly,5.6651664
2w,1,∆ Total Biomass Monthly,5.0488167
2w,1,∆ Pig Price (EU) 1m,4.673913
2w,1,∆ Export Volume 2w,4.198014
2w,1,ISA Outbreak 3m,4.1210494
2w,1,Lice Outbreak 3m,4.110652
2w,1,∆ Export Volume 1m,4.010722
2w,1,Harvest Intensity 1m Monthly,3.5547247
2w,1,Month_02,3.4652429
2w,1,Month_01,3.3849337
2w,1,RVol 13w,3.1558561
2w,1,FWD Curvature,2.9452844
2w,1,Soybean FWD Slope,2.7064378
2w,1,Month_10,1.5394052
2w,1,Month_07,1.5024858
2w,1,∆ Salmon (NOK/KG) 1w,0.0
2w,1,∆ Salmon (NOK/KG) 2w,0.0
2w,1,∆ Salmon (NOK/KG) 1m,0.0
2w,1,∆ Salmon (NOK/KG) 3m,0.0
2w,1,∆ Salmon (NOK/KG) 6m,0.0
2w,1,∆ Salmon (NOK/KG) 12m,0.0
2w,1,Acc 1w,0.0
2w,1,Acc 1m,0.0
2w,1,RVol 4w,0.0
2w,1,RVol 52w,0.0
2w,1,Spread (FP - SSB),0.0
2w,1,∆ Spread (FP - SSB),0.0
2w,1,∆ FWD 1m,0.0
2w,1,FWD 3m,0.0
2w,1,∆ FWD 3m,0.0
2w,1,∆ FWD 6m,0.0
2w,1,FWD 12m,0.0
2w,1,∆ FWD 12m,0.0
2w,1,FWD Slope,0.0
2w,1,∆ Export Volume 1w,0.0
2w,1,∆ Chilean Exports 1w,0.0
2w,1,∆ Chilean Exports 2w,0.0
2w,1,∆ Chilean Exports 1m,0.0
2w,1,∆ Chilean Exports 3m,0.0
2w,1,Avg Weight (KG) Monthly,0.0
2w,1,YOY Avg Weight (KG) Monthly,0.0
2w,1,Loss Rate 1m Monthly,0.0
2w,1,Loss Rate 3m Monthly,0.0
2w,1,Loss Rate 6m Monthly,0.0
2w,1,Smolt Release 2m Monthly,0.0
2w,1,Smolt Release 3m Monthly,0.0
2w,1,Smolt Release 4m Monthly,0.0
2w,1,Smolt Release 5m Monthly,0.0
2w,1,Smolt Release 6m Monthly,0.0
2w,1,Smolt Release 7m Monthly,0.0
2w,1,Smolt Release 9m Monthly,0.0
2w,1,Smolt Release 10m Monthly,0.0
2w,1,Smolt Release 11m Monthly,0.0
2w,1,Smolt Release 12m Monthly,0.0
2w,1,Smolt Release 13m Monthly,0.0
2w,1,Smolt Release 14m Monthly,0.0
2w,1,Smolt Release 15m Monthly,0.0
2w,1,Smolt Release 16m Monthly,0.0
2w,1,Smolt Release 17m Monthly,0.0
2w,1,Smolt Release 18m Monthly,0.0
2w,1,ISA Outbreak,0.0
2w,1,ISA Outbreak 1m,0.0
2w,1,Lice Outbreak,0.0
2w,1,Lice Outbreak 1m,0.0
2w,1,Sea Temp 12m Avg,0.0
2w,1,∆ EURNOK,0.0
2w,1,∆ EURNOK 1w,0.0
2w,1,∆ EURNOK 2w,0.0
2w,1,∆ EURNOK 1m,0.0
