Y,Horizon,Loss,Pooled RMSE,Pooled MAE,Pooled R2,Pooled Hit,RW RMSE,RW MAE,Skill%,MAE Skill%,DM stat (RW),DM p (RW),DM stat (OLS),DM p (OLS),n_obs,n_indep
Y 0w ∆ Salmon (NOK/KG),0w,RMSE,0.05795281250164101,0.043643832672884096,0.25759936656742977,0.6789168278529981,0.06726353179183285,0.05112425152822379,13.842150482086858,14.63184033356465,8.916483012376684,1.0703776342500667e-18,,,1034,1034.0
Y 1w ∆ Salmon (NOK/KG),1w,RMSE,0.08487245313715303,0.06576355405643075,0.2765458126776127,0.6740812379110251,0.09979322046133353,0.07718478862637443,14.951684348098372,14.797260928225153,8.855315832798693,1.784560518446254e-18,,,1034,1034.0
Y 2w ∆ Salmon (NOK/KG),2w,RMSE,0.09779501547465878,0.07625608160534648,0.27793571415983576,0.6844143272023233,0.11510577520667756,0.09007216817025997,15.039001910144412,15.338907506697808,7.695592099258221,1.6412486687356122e-14,,,1033,516.5
Y 1m ∆ Salmon (NOK/KG),1m,RMSE,0.11625250449859509,0.09057558659106599,0.3018627034926006,0.7012609117361784,0.13918176883133462,0.10874459559782004,16.47433031299238,16.707965032074,7.153159315959235,8.035014708539699e-13,-0.0631637141543996,0.525175802915026,1031,257.8
Y 3m ∆ Salmon (NOK/KG),3m,RMSE,0.1852683899619244,0.1478072904723892,0.35898496889183606,0.7250489236790607,0.23167058031470159,0.1864914702106489,20.02938408914261,20.74313623811562,5.289948775387789,7.484232365521508e-08,-1.2078779609482593,0.8863129049115862,1022,78.6
Y 6m ∆ Salmon (NOK/KG),6m,RMSE,0.21124545078240514,0.16901214739837467,0.4387009601580253,0.7849355797819624,0.28312595605977253,0.22966477935905294,25.38817220353765,26.40920045726962,5.089772690073267,2.13771723371625e-07,-1.3742152424275904,0.9151576825949614,1009,38.8
Y 12m ∆ Salmon (NOK/KG),12m,RMSE,0.2541804100150809,0.20218898013281755,0.03329869369804184,0.6012207527975585,0.2634165420339155,0.21326791461047684,3.5062839818333913,5.194843536541538,0.7290090267217786,0.23308498351462364,-1.8511559962998498,0.9677700223647663,983,18.9
