Y,Horizon,Nowcast,CV RMSE,CV RW RMSE,CV R2,CV RW R2,CV Hit,Hold RMSE,Hold RW RMSE,Hold R2,Hold RW R2,Hold Hit,Hold DM,Hold DM p,Depth,nTrees,n_train,n_holdout
Y 0w ∆ Salmon (NOK/KG),0w,True,0.059654572462740536,0.06739648035966853,0.21631388903407667,-0.00029732852671804366,0.6684420772303595,0.060227014747694,0.0714018360072492,0.2882604684552367,-0.00036196807928479124,0.6711711711711712,-4.070101182308655,4.699272351239854e-05,6,24,834,222
Y 1w ∆ Salmon (NOK/KG),1w,False,0.08671218287614903,0.09743558329662089,0.2075841667986973,-0.000525322902961145,0.6347305389221557,0.09772172283966743,0.11419565747771368,0.2672609713185373,-0.000613304304910578,0.665158371040724,-4.6515344730243,3.2947418283897737e-06,2,86,834,221
Y 2w ∆ Salmon (NOK/KG),2w,False,0.0981405968504119,0.11095955751732274,0.21689774076844892,-0.0010378979302114733,0.6511976047904192,0.11486289242184665,0.1375095262677951,0.3016130259068168,-0.0009265420439368288,0.6727272727272727,-5.16736726030139,2.374144649877393e-07,2,33,834,220
Y 1m ∆ Salmon (NOK/KG),1m,False,0.11852371477967849,0.13524737520248914,0.23052561087119317,-0.001939159515384592,0.6811377245508982,0.14119689506622982,0.16899289995486425,0.30087055903248094,-0.001484460516735897,0.7247706422018348,-4.615976480683592,3.912512579665102e-06,1,141,834,218
Y 3m ∆ Salmon (NOK/KG),3m,False,0.17677837059009763,0.21615096570286452,0.32579271093761875,-0.007974512410610757,0.7332268370607029,0.22757374495408705,0.30288290551134417,0.43512850468227726,-0.000587038322796829,0.7511961722488039,-4.0387932428383895,5.3726896204668826e-05,2,153,834,209
Y 6m ∆ Salmon (NOK/KG),6m,False,0.20633826145748124,0.26512715241520973,0.363844004261505,-0.05029791999819855,0.7320143884892086,0.2411872594250494,0.36308538652997335,0.5583943522877206,-0.0007910965890651767,0.8724489795918368,-3.5836290415719856,0.0003388532393192297,6,1726,834,196
Y 12m ∆ Salmon (NOK/KG),12m,False,0.25801928557572373,0.2542392095530086,-0.06041231833020544,-0.02956906855797814,0.60431654676259,0.206195999707722,0.21367314552258848,0.06117049692222143,-0.008152298789637413,0.6411764705882353,-0.6516644686386196,0.5146176487778946,7,24,834,170
