Horizon,CatBoost CV R²,CatBoost R²,CatBoost RMSE,CatBoost MAE,CatBoost RW RMSE,CatBoost Skill,CatBoost MAE Skill,CatBoost Hit,CatBoost DM p,CatBoost DM OLS p,HTBoost CV R²,HTBoost R²,HTBoost RMSE,HTBoost MAE,HTBoost RW RMSE,HTBoost Skill,HTBoost MAE Skill,HTBoost Hit,HTBoost DM p,HTBoost DM OLS p,Lasso CV R²,Lasso R²,Lasso RMSE,Lasso MAE,Lasso RW RMSE,Lasso Skill,Lasso MAE Skill,Lasso Hit,Lasso DM p,Lasso DM OLS p,SARIMA CV R²,SARIMA R²,SARIMA RMSE,SARIMA MAE,SARIMA RW RMSE,SARIMA Skill,SARIMA MAE Skill,SARIMA Hit,SARIMA DM p,SARIMA DM OLS p,OLS CV R²,OLS R²,OLS RMSE,OLS MAE,OLS RW RMSE,OLS Skill,OLS MAE Skill,OLS Hit,OLS DM p,OLS DM OLS p
0w,0.1653576423415891,0.1714620537834235,0.064981090428124,0.0502837677921953,0.0714018360072492,8.992409632818577,6.850114753185088,0.6126126126126126,7.383017716126258e-05,,0.2161590012291067,0.2946207269755651,0.0599573100402359,0.0472456341982042,0.0714018360072492,16.02833569412889,12.47820922721713,0.6666666666666666,5.277052780135856e-06,,0.1742823248708538,0.2170758683209492,0.0631670554718894,0.0489982324350446,0.0714018360072492,11.53300950765992,9.23154868817151,0.6576576576576577,2.673074683467927e-05,,-0.0425751897141881,0.1101187077120123,0.0673436779469393,0.0506887949112276,0.0714018360072492,5.683548613368838,6.099808415449537,0.6171171171171171,0.0006115045368786,,,,,,,,,,,
1w,0.1941307949441605,0.218965720953247,0.1008284979443823,0.0774845589729432,0.1141151655569288,11.64320933830496,11.373203433273849,0.6666666666666666,9.775750780961632e-06,,0.1979263660821939,0.2414246109832202,0.0993682460490121,0.0768052339235475,0.1141151655569288,12.922839340367853,12.150215056667047,0.6441441441441441,1.582837765229644e-05,,0.2150792961703056,0.2380333394712334,0.0995901151718501,0.0760638596726093,0.1141151655569288,12.728413716258046,12.998198523162008,0.6576576576576577,1.6995091410167364e-05,,0.0012952710751763,0.0627900906004189,0.1104502455813405,0.0845391395842351,0.1141151655569288,3.211597650235165,3.304177952740872,0.5720720720720721,0.0325097911148722,,,,,,,,,,,
2w,0.1710329270647507,0.2327084125616454,0.1204653074749452,0.093986425206081,0.1375692009659651,12.432938020226947,14.049345931549073,0.665158371040724,2.6626935312267295e-05,,0.2040003933361185,0.2886453903209228,0.1159911489104546,0.0900581229847057,0.1375692009659651,15.685234706603367,17.641781164248084,0.665158371040724,3.4606622817375184e-06,,0.2472354478671855,0.2594935063490373,0.1183439908819564,0.0916058296397705,0.1375692009659651,13.974937667018239,16.226402304830557,0.6742081447963801,1.805488084454275e-06,,0.0190202972252219,0.0766411435201084,0.132149959599464,0.1031240973849241,0.1375692009659651,3.9392838865450974,5.692938091666289,0.6606334841628959,0.0053914621341201,,,,,,,,,,,
1m,0.2061563847042836,0.3154777587109075,0.1394321861986149,0.1080466881209199,0.1686424542152378,17.320827162146223,17.33552554723119,0.7031963470319634,1.3637623198706991e-05,0.4584072594458896,0.2230055416039194,0.2990573982698035,0.1410946293923484,0.1051194578454452,0.1686424542152378,16.335047394252335,19.575093983179382,0.7214611872146118,5.297848691115228e-06,0.6239474737631177,0.2571790442329742,0.2949360003041031,0.1415088251021054,0.1053700983314337,0.1686424542152378,16.089441558115503,19.383333695000637,0.7123287671232876,7.426620968090197e-06,0.7338961030026732,-0.0007251681786411,0.0865652280883473,0.1610675397372323,0.124669084721103,0.1686424542152378,4.491700807637466,4.618044771126051,0.6118721461187214,0.0002250389981187,,0.3005714333883127,0.3116821834142964,0.1398182173143829,0.1058671140259285,0.1686424542152378,17.091922099323,19.003076401651587,0.6712328767123288,3.2796188607402295e-05,
3m,0.321608478224664,0.2788142491075953,0.2566944149459391,0.2090273801592571,0.302340150135542,15.097477185593611,18.96641703102675,0.7238095238095238,0.000540166226663,0.9035370426441688,0.3306772162844733,0.3969722326797129,0.2347261665152726,0.1888137093225375,0.302340150135542,22.363547676336538,26.802644857289792,0.7571428571428571,0.0001507694726404,0.7241572989280334,0.284086088988202,0.4215414058488349,0.2298947162031743,0.1864817341998882,0.302340150135542,23.96156577281903,27.706680967003305,0.7523809523809524,0.0008448909628789,0.7949075854932197,0.0078893862369485,0.1762583709809966,0.2743395096201859,0.2331546606136857,0.302340150135542,9.26130403216482,9.613001315678705,0.7761904761904762,9.16857549381336e-09,,0.3951919110337031,0.4801177767659802,0.2179442093815372,0.1725718468517165,0.302340150135542,27.91423524668136,33.09912290287964,0.7523809523809524,0.0045168594501035,
6m,0.4114158184786352,0.3620125825408411,0.289228386712325,0.2426113760553186,0.3622337186118584,20.1542065656677,22.79098047729622,0.7461928934010152,0.0077091920852976,0.9117271637014916,0.3514645406839389,0.5625281408270317,0.2395024273151662,0.1979950504692933,0.3622337186118584,33.88179647301182,36.98974893247896,0.8730964467005076,0.0005345768619005,0.7114437250971648,-0.1996196830144867,0.584461580191238,0.23342128219304,0.1890384426089813,0.3622337186118584,35.56058693609465,39.84011366964756,0.8578680203045685,0.0005192886059324,0.6438879406446945,-0.0064383000455587,0.2288804864798734,0.3179769980883479,0.2755208820767498,0.3622337186118584,12.21772525570226,12.317808385350048,0.8274111675126904,7.876995725584965e-08,,0.4579617398664783,0.6192540271640804,0.2234356757110766,0.1609436432998848,0.3622337186118584,38.31726196906231,48.78104605135037,0.8781725888324873,0.0094651229501465,
12m,0.2097104540349958,0.1916726313866074,0.1910470924365643,0.1510538823810985,0.2132835863642966,10.425787706772482,9.243397319604918,0.7017543859649122,0.0895031696058298,0.0120223958431407,-0.2172691137945044,0.0658003806570272,0.2053840122658196,0.1592408054577233,0.2132835863642966,3.703789041217742,4.324508025746098,0.6432748538011696,0.3075067353229382,0.0085088634126281,0.2634489895811466,-0.0754157104640864,0.2203611240812234,0.1667771145555542,0.2132835863642966,-3.3183696118266326,-0.20347761544965426,0.5146198830409356,0.6565122683015145,0.0413366194203721,-0.0295690685579781,0.0417047968680236,0.2080158596190402,0.1633294072522602,0.2132835863642966,2.4698228471547234,1.8679832232325277,0.5321637426900585,0.293375505945549,,0.1392945218540904,-0.4899702447050158,0.2593794640071875,0.2130016290270347,0.2132835863642966,-21.612482436485926,-27.976215580556584,0.4678362573099415,0.9879576778879816,
