Y,Horizon,Loss,Depth,Pooled RMSE,Pooled MAE,Pooled R2,Pooled Hit,RW RMSE,RW MAE,Skill%,MAE Skill%,DM stat (RW),DM p (RW),DM stat (OLS),DM p (OLS),n_obs,n_indep
Y 0w ∆ Salmon (NOK/KG),0w,RMSE,6,0.05972206013630928,0.04528106404095134,0.211577772296345,0.6721470019342359,0.06726353179183285,0.05112425152822379,11.21182824426008,11.429384905609108,8.334712788044252,1.2271905402410917e-16,,,1034,1034.0
Y 1w ∆ Salmon (NOK/KG),1w,RMSE,7,0.08656741266677867,0.06703947940465162,0.24736155336270438,0.6740812379110251,0.09979322046133353,0.07718478862637443,13.25321272668959,13.144182166298124,9.125232205509711,1.829622938327263e-19,,,1034,1034.0
Y 2w ∆ Salmon (NOK/KG),2w,RMSE,6,0.10000310568033173,0.07789561319341934,0.2449609727333808,0.6786060019361084,0.11510577520667756,0.09007216817025997,13.120687905735673,13.518665337136937,7.598769142076162,3.3459638816710736e-14,,,1033,516.5
Y 1m ∆ Salmon (NOK/KG),1m,RMSE,5,0.11837084572793763,0.09251818963094206,0.27618812307947727,0.7012609117361784,0.13918176883133462,0.10874459559782004,14.95233411540875,14.9215746103738,6.722151878689167,1.4802892172973763e-11,-1.0402374951170623,0.8507631549269091,1031,257.8
Y 3m ∆ Salmon (NOK/KG),3m,RMSE,2,0.18704085592859285,0.14880855786214714,0.34666109387682154,0.7309197651663405,0.23167058031470159,0.1864914702106489,19.26430379096201,20.20623908747008,5.612670860938972,1.283043672315016e-08,-1.2944703191202296,0.9021020064613859,1022,78.6
Y 6m ∆ Salmon (NOK/KG),6m,RMSE,2,0.22025387169640356,0.17801211347571747,0.38980777195546634,0.7026759167492567,0.28312595605977253,0.22966477935905294,22.206400726500554,22.490460238390675,4.052934792698016,2.723521118680148e-05,-1.5606012207218933,0.9405319117491414,1009,38.8
Y 12m ∆ Salmon (NOK/KG),12m,RMSE,8,0.2549583248127646,0.19981402773941107,0.027372493407043064,0.6144455747711088,0.2634165420339155,0.21326791461047684,3.2109666142614124,6.308443956813015,0.5604467493064703,0.28765129390697386,-1.5028425624094097,0.9333926013052802,983,18.9
