Horizon,Fold,Feature,Importance
1m,1,Soybean FWD Curvature,0.0002833523142650027
1m,1,Month_01,0.0
1m,1,Month_02,0.0
1m,1,Month_03,0.0
1m,1,Month_04,0.0
1m,1,Month_05,0.0
1m,1,Month_06,0.0
1m,1,Month_07,0.0
1m,1,Month_08,7.534871481421933e-05
1m,1,Month_09,0.0002653185279833301
1m,1,Month_10,0.000121259614633427
1m,1,Month_11,0.0004937315286133343
1m,2,∆ Salmon (NOK/KG) 1w,0.0003038970631488992
1m,2,∆ Salmon (NOK/KG) 2w,0.0006421585520407108
1m,2,∆ Salmon (NOK/KG) 1m,0.0004434647549544298
1m,2,∆ Salmon (NOK/KG) 3m,0.00041838438333044676
1m,2,∆ Salmon (NOK/KG) 6m,0.0003470460468840957
1m,2,∆ Salmon (NOK/KG) 12m,0.0005395915005859775
1m,2,Acc 1w,0.00012416030606168094
1m,2,Acc 1m,0.00017368407166719641
1m,2,RVol 4w,0.0002841400867027054
1m,2,RVol 13w,0.0014830551705516404
1m,2,RVol 52w,0.000856745080012959
1m,2,Spread (FP - SSB),0.002027816246680743
1m,2,∆ Spread (FP - SSB),7.424469267510174e-05
1m,2,FWD 1m,0.03146839329029735
1m,2,∆ FWD 1m,0.0
1m,2,FWD 3m,0.0063641093720133825
1m,2,∆ FWD 3m,0.0004083977101110809
1m,2,FWD 6m,0.0016014762088451368
1m,2,∆ FWD 6m,0.00038138178155386283
1m,2,FWD 12m,0.009562914459271304
1m,2,∆ FWD 12m,0.00037850451553965046
1m,2,FWD Slope,0.0004726330323676
1m,2,FWD Curvature,0.0004955104451697498
1m,2,∆ Export Volume 1w,6.875679771004978e-05
1m,2,∆ Export Volume 2w,0.0
1m,2,∆ Export Volume 1m,0.000980344486319655
1m,2,∆ Chilean Exports 1w,0.00016395167375699645
1m,2,∆ Chilean Exports 2w,0.0
1m,2,∆ Chilean Exports 1m,0.0007286160439844064
1m,2,∆ Chilean Exports 3m,0.00031640685239153163
1m,2,∆ Total Biomass Monthly,0.00279372312338595
1m,2,∆YOY Total Biomass Monthly,0.0008109205191930688
1m,2,Avg Weight (KG) Monthly,0.003229330270044846
1m,2,YOY Avg Weight (KG) Monthly,0.0008367876355199428
1m,2,Harvest Intensity 1m Monthly,0.002010808879736203
1m,2,Harvest Intensity 3m Monthly,0.001737264673031404
1m,2,Loss Rate 1m Monthly,0.004095773127937158
1m,2,Loss Rate 3m Monthly,0.0017791687579930386
1m,2,Loss Rate 6m Monthly,0.0017875202871448829
1m,2,Smolt Release 2m Monthly,0.0003722284357985241
1m,2,Smolt Release 3m Monthly,0.00628342635244864
1m,2,Smolt Release 4m Monthly,0.0034060857318916615
1m,2,Smolt Release 5m Monthly,0.0032474331350949917
1m,2,Smolt Release 6m Monthly,0.0054963490473531225
1m,2,Smolt Release 7m Monthly,0.00091528135868491
1m,2,Smolt Release 8m Monthly,0.0008553808246171015
1m,2,Smolt Release 9m Monthly,0.0009050127074167883
1m,2,Smolt Release 10m Monthly,0.0027918247535799324
1m,2,Smolt Release 11m Monthly,0.0001664370875782272
1m,2,Smolt Release 12m Monthly,0.0011471630477131816
1m,2,Smolt Release 13m Monthly,0.0001221191809345883
1m,2,Smolt Release 14m Monthly,0.00034414927212937375
1m,2,Smolt Release 15m Monthly,0.005954716930059749
1m,2,Smolt Release 16m Monthly,0.00592226102743881
1m,2,Smolt Release 17m Monthly,0.005128860150183516
1m,2,Smolt Release 18m Monthly,0.000307959227440419
1m,2,ISA Outbreak,0.0006388502499407105
1m,2,ISA Outbreak 1m,0.0003062678806676457
1m,2,ISA Outbreak 3m,0.001262174299244852
1m,2,Lice Outbreak,0.0
1m,2,Lice Outbreak 1m,0.0006459561510306097
1m,2,Lice Outbreak 3m,0.00317895699954659
1m,2,Sea Temp,0.008496273493903953
1m,2,Sea Temp 12m Avg,0.001165236237920188
1m,2,∆ EURNOK,0.0006802219530098518
1m,2,∆ EURNOK 1w,0.00024248423808546248
1m,2,∆ EURNOK 2w,0.0001233677341105091
1m,2,∆ EURNOK 1m,0.0004348739691037728
1m,2,∆ EURNOK 3m,0.00047542299269440143
1m,2,∆ EURNOK 6m,0.0004251150556345606
1m,2,∆ EURNOK 12m,0.000743800339079468
1m,2,CPI NO Monthly,0.0005186723741604218
1m,2,NIBOR 3m,0.000502761877894306
1m,2,∆ Shrimp Price (Global) 1m Monthly,0.0005810076120152243
1m,2,∆ Shrimp Price (Global) 3m Monthly,0.00031776413609551415
1m,2,∆ Shrimp Price (Global) 6m Monthly,0.005555617726754688
1m,2,∆ Shrimp Price (Global) 12m Monthly,0.0011408949757145065
1m,2,∆ Broiler Price (EU) 1w,0.0
1m,2,∆ Broiler Price (EU) 2w,0.0002821642398251838
1m,2,∆ Broiler Price (EU) 1m,0.0005934300983937191
1m,2,∆ Broiler Price (EU) 3m,0.000686107720594924
1m,2,∆ Broiler Price (EU) 6m,0.00014693638534175207
1m,2,∆ Broiler Price (EU) 12m,0.0007647679100042798
1m,2,∆ Pig Price (EU),0.00022981243693220187
1m,2,∆ Pig Price (EU) 1w,0.0006433370854714771
1m,2,∆ Pig Price (EU) 2w,0.0005156521351483642
1m,2,∆ Pig Price (EU) 1m,0.0007311114694249335
1m,2,∆ Pig Price (EU) 3m,0.0005757705602863777
1m,2,∆ Pig Price (EU) 6m,0.0006133930899027099
1m,2,∆ Pig Price (EU) 12m,0.000765861015427398
1m,2,Meat CPI (EU) Monthly,0.0006404324807154119
1m,2,∆ Fishmeal 1m Monthly,0.0005774168603621446
1m,2,∆ Fishmeal 3m Monthly,0.0009429508875359646
1m,2,∆ Fishmeal 6m Monthly,0.0005662184799086889
1m,2,∆ Fishmeal 12m Monthly,0.00022539728261606527
1m,2,Brent FWD Slope,0.0026312631673568038
1m,2,Brent FWD Curvature,0.0
1m,2,Soybean FWD Slope,0.002317960116030217
1m,2,Soybean FWD Curvature,0.0012557182138181323
1m,2,Month_01,0.0
1m,2,Month_02,0.0005069066564475156
1m,2,Month_03,0.0
1m,2,Month_04,0.0
1m,2,Month_05,0.0
1m,2,Month_06,0.0
1m,2,Month_07,0.0
1m,2,Month_08,0.0
1m,2,Month_09,0.0
1m,2,Month_10,0.0
1m,2,Month_11,0.0
1m,3,∆ Salmon (NOK/KG) 1w,0.0001594689026391245
1m,3,∆ Salmon (NOK/KG) 2w,0.0
1m,3,∆ Salmon (NOK/KG) 1m,2.3861074399452992e-05
1m,3,∆ Salmon (NOK/KG) 3m,0.0004319364547907091
1m,3,∆ Salmon (NOK/KG) 6m,0.00040696458913210264
1m,3,∆ Salmon (NOK/KG) 12m,0.0009685979155031761
1m,3,Acc 1w,0.00021884532501725387
1m,3,Acc 1m,0.0007174901837933463
1m,3,RVol 4w,0.0004228851681195286
1m,3,RVol 13w,0.0
1m,3,RVol 52w,0.000623362830839301
1m,3,Spread (FP - SSB),0.002422486863722545
1m,3,∆ Spread (FP - SSB),0.00030809992893599143
1m,3,FWD 1m,0.0263996791771006
1m,3,∆ FWD 1m,0.00384979744036829
1m,3,FWD 3m,0.007860947383514748
1m,3,∆ FWD 3m,0.0008368582030679182
1m,3,FWD 6m,0.0029555396008342266
1m,3,∆ FWD 6m,0.0
1m,3,FWD 12m,0.006927549750575635
1m,3,∆ FWD 12m,0.00029396242409921743
1m,3,FWD Slope,0.00026143387926343093
1m,3,FWD Curvature,0.0013028495582793505
1m,3,∆ Export Volume 1w,0.00013557884800744424
1m,3,∆ Export Volume 2w,0.00017728826820148324
1m,3,∆ Export Volume 1m,8.69303441398521e-05
1m,3,∆ Chilean Exports 1w,0.0004986072667093912
1m,3,∆ Chilean Exports 2w,0.0001774822321705168
1m,3,∆ Chilean Exports 1m,0.00025477079779686023
1m,3,∆ Chilean Exports 3m,0.0004025643645128134
1m,3,∆ Total Biomass Monthly,0.0024824726456253235
1m,3,∆YOY Total Biomass Monthly,0.0015229274627333292
1m,3,Avg Weight (KG) Monthly,0.001915186806469555
1m,3,YOY Avg Weight (KG) Monthly,0.00019898059079770744
