Y,Horizon,Nowcast,Loss,CV RMSE,CV RW RMSE,CV MAE,CV RW MAE,CV R2,CV RW R2,CV Hit,Hold RMSE,Hold RW RMSE,Hold MAE,Hold RW MAE,Hold R2,Hold RW R2,Hold Hit,Hold DM,Hold DM p,Hold CW,Hold CW p,Depth,n_train,n_holdout
Y 0w ∆ Salmon (NOK/KG),0w,True,RMSE,0.061563439157877556,0.06739648035966853,0.0472786635265645,0.05150847214382985,0.16535764234158912,-0.00029732852671804366,0.6524633821571239,0.06498741409772087,0.0714018360072492,0.05029376686294516,0.05398156708294468,0.1713007867094697,-0.00036196807928479124,0.6126126126126126,3.8582097258724786,7.494816504609569e-05,,,6,834,222
Y 1w ∆ Salmon (NOK/KG),1w,False,RMSE,0.08744517013387176,0.09743558329662089,0.06844191623662757,0.07553133267426532,0.19413079494416052,-0.000525322902961145,0.6437125748502994,0.10076339556675978,0.11419565747771368,0.07731792725495848,0.08739517950551966,0.2209368138865928,-0.000613304304910578,0.669683257918552,4.397978708488027,8.508965590190855e-06,,,7,834,221
Y 2w ∆ Salmon (NOK/KG),2w,False,RMSE,0.10097365957711038,0.11095955751732274,0.07945919291439417,0.08621911450036954,0.1710329270647507,-0.0010378979302114733,0.6392215568862275,0.1203089709182122,0.1375095262677951,0.09372739164247038,0.10916395357944567,0.23381674180518797,-0.0009265420439368288,0.6681818181818182,4.124956370519409,2.6335234322589985e-05,,,6,834,220
Y 1m ∆ Salmon (NOK/KG),1m,False,RMSE,0.12038590670118386,0.13524737520248914,0.09488674478518866,0.10669002273982325,0.20615638470428366,-0.001939159515384592,0.6706586826347305,0.1395250063456634,0.16899289995486425,0.10800351087318054,0.13106871451079619,0.3173290859613771,-0.001484460516735897,0.7064220183486238,4.3156009118295104,1.2094325420242014e-05,2.0998524614204794,0.01844860615930319,5,834,218
Y 3m ∆ Salmon (NOK/KG),3m,False,RMSE,0.177326078806986,0.21615096570286452,0.1446590460375204,0.17412306943533484,0.321608478224664,-0.007974512410610757,0.6900958466453674,0.2567244382332097,0.30288290551134417,0.20882970952216842,0.2584639962979983,0.28114752626707507,-0.000587038322796829,0.7272727272727273,3.3633969955006444,0.0004582210857003474,0.30361299856372215,0.3808631147319147,2,834,209
Y 6m ∆ Salmon (NOK/KG),6m,False,RMSE,0.1984733717092424,0.26512715241520973,0.1606321788929216,0.21603826296922135,0.4114158184786352,-0.05029791999819855,0.7464028776978417,0.28972317423558347,0.36308538652997335,0.2430029993105589,0.31531621383097846,0.36277564999097034,-0.0007910965890651767,0.7448979591836735,2.4413347429962475,0.007762683906555286,0.6638100851335941,0.25379796908357344,2,834,196
Y 12m ∆ Salmon (NOK/KG),12m,False,RMSE,0.22274496961582466,0.2542392095530086,0.17859632803690884,0.20569308599402383,0.20971045403499589,-0.02956906855797814,0.6834532374100719,0.1915928165102844,0.21367314552258848,0.15175639003914237,0.16664570734252843,0.18944087069982296,-0.008152298789637413,0.7,1.332151252152965,0.09230206089448408,4.245504568205622,1.7954054689486522e-05,8,834,170
