Y,Horizon,FWD,Pooled RMSE,Pooled MAE,Pooled R2,Pooled Hit,RW RMSE,RW MAE,Skill%,MAE Skill%,DM stat (RW),DM p (RW),n_obs,n_indep
Y 1m ∆ Salmon (NOK/KG),1m,FWD 1m,0.11614587515166186,0.09091625415816987,0.30314280983412867,0.6779825412221144,0.13918176883133462,0.10874459559782004,16.55094188922722,16.394691930793826,6.503322865783121,6.114930579898811e-11,1031,257.8
Y 3m ∆ Salmon (NOK/KG),3m,FWD 3m,0.17531451815381024,0.13956228003251261,0.42388552169014826,0.732615083251714,0.23121989097978746,0.18616834431139034,24.178444418894863,25.03436577860043,4.906860966969355,5.383513928943323e-07,1021,78.5
Y 6m ∆ Salmon (NOK/KG),6m,FWD 6m,0.19901822346658785,0.15313039758148556,0.5060308963080482,0.7969849246231155,0.2841405466266504,0.23038495501148043,29.95782339783768,33.53281355813584,4.773136158503714,1.0428984754464157e-06,995,38.3
Y 12m ∆ Salmon (NOK/KG),12m,FWD 12m,0.2324190914377225,0.18558327194486562,0.15641447338859105,0.6850477200424178,0.26086004566319443,0.21115267298254378,10.902763645987035,12.109437534703627,1.9430014627297567,0.026156804173223854,943,18.1
