Horizon,Feature,Importance
6m,FWD 6m,32.14715
6m,Month_05,9.473955
6m,RVol 52w,9.230117
6m,Month_04,8.574283
6m,Month_10,8.349923
6m,Month_11,8.024238
6m,Month_09,7.857378
6m,Smolt Release 13m Monthly,7.710237
6m,Month_03,7.177168
6m,Month_02,1.4555506
6m,∆ EURNOK 1m,0.0
6m,∆ EURNOK 2w,0.0
6m,∆ EURNOK 1w,0.0
6m,Smolt Release 16m Monthly,0.0
6m,∆ EURNOK,0.0
6m,ISA Outbreak 1m,0.0
6m,ISA Outbreak,0.0
6m,Smolt Release 18m Monthly,0.0
6m,Smolt Release 17m Monthly,0.0
6m,Smolt Release 10m Monthly,0.0
6m,Smolt Release 15m Monthly,0.0
6m,Smolt Release 14m Monthly,0.0
6m,Smolt Release 12m Monthly,0.0
6m,Smolt Release 11m Monthly,0.0
6m,∆ EURNOK 6m,0.0
6m,Smolt Release 9m Monthly,0.0
6m,Smolt Release 8m Monthly,0.0
6m,Smolt Release 7m Monthly,0.0
6m,∆ EURNOK 3m,0.0
6m,∆ Shrimp Price (Global) 1m Monthly,0.0
6m,∆ EURNOK 12m,0.0
6m,CPI NO Monthly,0.0
6m,Month_07,0.0
6m,Month_06,0.0
6m,Month_01,0.0
6m,Soybean FWD Curvature,0.0
6m,Soybean FWD Slope,0.0
6m,Brent FWD Curvature,0.0
6m,Brent FWD Slope,0.0
6m,∆ Fishmeal 12m Monthly,0.0
6m,∆ Fishmeal 6m Monthly,0.0
6m,∆ Fishmeal 3m Monthly,0.0
6m,∆ Fishmeal 1m Monthly,0.0
6m,Meat CPI (EU) Monthly,0.0
6m,∆ Shrimp Price (Global) 12m Monthly,0.0
6m,∆ Shrimp Price (Global) 6m Monthly,0.0
6m,∆ Shrimp Price (Global) 3m Monthly,0.0
6m,Smolt Release 5m Monthly,0.0
6m,NIBOR 3m,0.0
6m,Smolt Release 6m Monthly,0.0
6m,Loss Rate 3m Monthly,0.0
6m,Smolt Release 4m Monthly,0.0
6m,Smolt Release 3m Monthly,0.0
6m,∆ FWD 6m,0.0
6m,∆ FWD 3m,0.0
6m,FWD 3m,0.0
6m,∆ FWD 1m,0.0
6m,FWD 1m,0.0
6m,∆ Spread (FP - SSB),0.0
6m,Spread (FP - SSB),0.0
6m,RVol 13w,0.0
6m,RVol 4w,0.0
6m,Acc 1m,0.0
6m,Acc 1w,0.0
6m,∆ Salmon (NOK/KG) 12m,0.0
6m,∆ Salmon (NOK/KG) 6m,0.0
6m,∆ Salmon (NOK/KG) 3m,0.0
6m,∆ Salmon (NOK/KG) 1m,0.0
6m,∆ Salmon (NOK/KG) 2w,0.0
6m,∆ Salmon (NOK/KG) 1w,0.0
6m,FWD 12m,0.0
6m,∆ FWD 12m,0.0
6m,FWD Slope,0.0
6m,∆YOY Total Biomass Monthly,0.0
6m,Smolt Release 2m Monthly,0.0
6m,Loss Rate 6m Monthly,0.0
6m,Loss Rate 1m Monthly,0.0
6m,Harvest Intensity 3m Monthly,0.0
6m,Harvest Intensity 1m Monthly,0.0
6m,YOY Avg Weight (KG) Monthly,0.0
6m,Avg Weight (KG) Monthly,0.0
6m,∆ Total Biomass Monthly,0.0
6m,FWD Curvature,0.0
6m,∆ Chilean Exports 3m,0.0
6m,∆ Chilean Exports 1m,0.0
6m,∆ Chilean Exports 2w,0.0
6m,∆ Chilean Exports 1w,0.0
6m,∆ Export Volume 1m,0.0
6m,∆ Export Volume 2w,0.0
6m,∆ Export Volume 1w,0.0
6m,Month_08,0.0
