Horizon,Feature,Importance
0w,FWD 1m,9.045607
0w,Acc 1w,5.2194996
0w,∆ Salmon (NOK/KG) 1w,3.8577266
0w,∆ FWD 1m,3.4372878
0w,∆ Total Biomass Monthly,3.327042
0w,∆ Export Volume 2w,2.98837
0w,RVol 13w,2.8212075
0w,∆ Chilean Exports 1m,2.7547178
0w,∆ Fishmeal 1m Monthly,2.697874
0w,∆ Shrimp Price (Global) 6m Monthly,2.5841339
0w,FWD 3m,2.5014377
0w,∆ Spread (FP - SSB),2.4293783
0w,Smolt Release 13m Monthly,2.3184927
0w,Meat CPI (EU) Monthly,2.2618055
0w,Smolt Release 12m Monthly,2.2508821
0w,∆ FWD 12m,2.0618677
0w,∆ Salmon (NOK/KG) 1m,2.0318172
0w,ISA Outbreak 3m,1.9014561
0w,∆ Salmon (NOK/KG) 2w,1.8962775
0w,Smolt Release 9m Monthly,1.8827786
0w,YOY Avg Weight (KG) Monthly,1.8461857
0w,∆ EURNOK 1m,1.7980951
0w,∆ EURNOK 2w,1.7886561
0w,∆ Salmon (NOK/KG) 12m,1.7104415
0w,∆ EURNOK 1w,1.6484874
0w,RVol 52w,1.6196791
0w,∆ Export Volume 1m,1.5832506
0w,ISA Outbreak,1.496305
0w,∆ EURNOK,1.4705653
0w,Smolt Release 10m Monthly,1.4435854
0w,∆ Shrimp Price (Global) 3m Monthly,1.3912238
0w,Spread (FP - SSB),1.2825669
0w,ISA Outbreak 1m,1.2659575
0w,Month_11,1.2586327
0w,NIBOR 3m,1.252036
0w,RVol 4w,1.2447449
0w,FWD Slope,1.224427
0w,Smolt Release 16m Monthly,1.2023236
0w,∆ Chilean Exports 3m,1.1716838
0w,Smolt Release 17m Monthly,1.1378616
0w,Smolt Release 5m Monthly,0.9112004
0w,Soybean FWD Slope,0.8744221
0w,∆ FWD 3m,0.8087759
0w,∆ EURNOK 6m,0.7434766
0w,∆ Export Volume 1w,0.73460966
0w,∆ Chilean Exports 2w,0.7262235
0w,∆ EURNOK 3m,0.6820378
0w,Smolt Release 11m Monthly,0.6616888
0w,Smolt Release 15m Monthly,0.6427056
0w,Month_03,0.6354614
0w,Smolt Release 18m Monthly,0.6318754
0w,Acc 1m,0.5683959
0w,Month_06,0.5610778
0w,Month_07,0.5521628
0w,∆YOY Total Biomass Monthly,0.52052015
0w,Month_04,0.3554217
0w,Brent FWD Slope,0.2835675
0w,Smolt Release 14m Monthly,0.0
0w,∆ EURNOK 12m,0.0
0w,CPI NO Monthly,0.0
0w,∆ Fishmeal 6m Monthly,0.0
0w,∆ Shrimp Price (Global) 1m Monthly,0.0
0w,∆ Shrimp Price (Global) 12m Monthly,0.0
0w,∆ Fishmeal 3m Monthly,0.0
0w,Month_02,0.0
0w,∆ Fishmeal 12m Monthly,0.0
0w,Brent FWD Curvature,0.0
0w,Soybean FWD Curvature,0.0
0w,Month_01,0.0
0w,Smolt Release 7m Monthly,0.0
0w,Month_05,0.0
0w,Month_08,0.0
0w,Month_09,0.0
0w,Smolt Release 8m Monthly,0.0
0w,Loss Rate 6m Monthly,0.0
0w,Smolt Release 6m Monthly,0.0
0w,∆ Chilean Exports 1w,0.0
0w,∆ Salmon (NOK/KG) 3m,0.0
0w,∆ Salmon (NOK/KG) 6m,0.0
0w,FWD 6m,0.0
0w,∆ FWD 6m,0.0
0w,FWD 12m,0.0
0w,FWD Curvature,0.0
0w,Avg Weight (KG) Monthly,0.0
0w,Smolt Release 4m Monthly,0.0
0w,Harvest Intensity 1m Monthly,0.0
0w,Harvest Intensity 3m Monthly,0.0
0w,Loss Rate 1m Monthly,0.0
0w,Loss Rate 3m Monthly,0.0
0w,Smolt Release 2m Monthly,0.0
0w,Smolt Release 3m Monthly,0.0
0w,Month_10,0.0
