Y,Horizon,Nowcast,Loss,CV RMSE,CV RW RMSE,CV MAE,CV RW MAE,CV R2,CV RW R2,CV Hit,Hold RMSE,Hold RW RMSE,Hold MAE,Hold RW MAE,Hold R2,Hold RW R2,Hold Hit,Hold DM,Hold DM p,Hold DM OLS,Hold DM OLS p,Depth,nTrees,n_train,n_holdout
Y 0w ∆ Salmon (NOK/KG),0w,True,RMSE,0.059660467239465505,0.06739648035966853,0.045646275219000075,0.05150847214382985,0.2161590012291067,-0.00029732852671804366,0.6644474034620506,0.0599573100402359,0.0714018360072492,0.04724563419820426,0.05398156708294468,0.2946207269755651,-0.00036196807928479124,0.6666666666666666,4.509301275833646,5.277052780135856e-06,,,5,47,834,222
Y 1w ∆ Salmon (NOK/KG),1w,False,RMSE,0.08723899765899343,0.09743558329662089,0.0680999819471621,0.07553133267426532,0.19792636608219394,-0.000525322902961145,0.6377245508982036,0.0993682460490121,0.11411516555692881,0.07680523392354753,0.08742791342413689,0.2414246109832202,-0.0004381155893622424,0.6441441441441441,4.249026011341288,1.582837765229644e-05,,,3,58,834,222
Y 2w ∆ Salmon (NOK/KG),2w,False,RMSE,0.09894546252419921,0.11095955751732274,0.07863784956352475,0.08621911450036954,0.20400039333611852,-0.0010378979302114733,0.6526946107784432,0.11599114891045469,0.13756920096596514,0.0900581229847057,0.10934928445248411,0.28864539032092285,-0.0006423496109548843,0.665158371040724,4.606814155662137,3.4606622817375184e-06,,,3,42,834,221
Y 1m ∆ Salmon (NOK/KG),1m,False,RMSE,0.119101472435185,0.13524737520248914,0.09479532458596536,0.10669002273982325,0.2230055416039194,-0.001939159515384592,0.6796407185628742,0.14109462939234846,0.16864245421523782,0.10511945784544523,0.1307051049875766,0.2990573982698035,-0.0013717091138236714,0.7214611872146118,4.50984699904077,5.297848691115228e-06,-0.3162635939383202,0.6239474737631177,1,141,834,219
Y 3m ∆ Salmon (NOK/KG),3m,False,RMSE,0.17613684347390426,0.21615096570286452,0.14504326342055882,0.17412306943533484,0.33067721628447333,-0.007974512410610757,0.7364217252396166,0.23472616651527262,0.30234015013554205,0.18881370932253755,0.25795154613771815,0.39697223267971293,-0.00047432307705008725,0.7571428571428571,3.6756865891464128,0.0001507694726404193,-0.5962020817509871,0.7241572989280334,2,142,834,210
Y 6m ∆ Salmon (NOK/KG),6m,False,RMSE,0.20833623809844715,0.26512715241520973,0.1732077052058012,0.21603826296922135,0.35146454068393895,-0.05029791999819855,0.7320143884892086,0.23950242731516627,0.3622337186118584,0.19799505046929333,0.3142267283733311,0.5625281408270317,-0.0007095210327547896,0.8730964467005076,3.3211772982262397,0.0005345768619005387,-0.5585409825950512,0.7114437250971648,5,568,834,197
Y 12m ∆ Salmon (NOK/KG),12m,False,RMSE,0.2764445851749221,0.2542392095530086,0.2272525134686741,0.20569308599402383,-0.21726911379450442,-0.02956906855797814,0.579136690647482,0.20538401226581965,0.21328358636429662,0.15924080545772334,0.16643844956718357,0.0658003806570272,-0.007444866211792078,0.6432748538011696,0.5038580348238776,0.3075067353229382,2.410039688678716,0.008508863412628107,7,25,834,171
