iter	RMSE
0	0.06531906217
1	0.06482541558
2	0.06437437612
3	0.06388598507
4	0.06333449757
5	0.06291712083
6	0.06262386523
7	0.06226935208
8	0.06196331597
9	0.06152061124
10	0.06109038898
11	0.06071422799
12	0.06031562771
13	0.06008534445
14	0.05974171392
15	0.05941245434
16	0.05932309018
17	0.05899823811
18	0.05862492026
19	0.05830186077
20	0.05805161625
21	0.05774355342
22	0.05743207841
23	0.05709404142
24	0.0567913345
25	0.05650285121
26	0.05624981117
27	0.05608541341
28	0.05593388209
29	0.05569295292
30	0.05549285493
31	0.05530755504
32	0.05508978298
33	0.05479949619
34	0.05460026895
35	0.05441395724
36	0.05424788502
37	0.05397246574
38	0.05385536639
39	0.05363456171
40	0.0535094581
41	0.05329623016
42	0.05301328775
43	0.0527349227
44	0.05258072285
45	0.05248829937
46	0.05234267602
47	0.05224127168
48	0.05199163541
49	0.05183878471
50	0.05153483136
51	0.05137485765
52	0.05117161214
53	0.05096887356
54	0.05082899483
55	0.05063102945
56	0.05037407068
57	0.05023487349
58	0.05004357678
59	0.0498306002
60	0.04977678544
61	0.04960566184
62	0.04941565985
63	0.04925961788
64	0.04913477891
65	0.0489911996
66	0.04881696112
67	0.04864574066
68	0.04841165358
69	0.04823553587
70	0.04814646004
71	0.04805411493
72	0.04787877222
73	0.04770298598
74	0.04747636506
75	0.04739448647
76	0.04720082075
77	0.04700274134
78	0.04689757364
79	0.04672866044
80	0.0465885576
81	0.04650584919
82	0.04645799476
83	0.04626327594
84	0.04610771908
85	0.04593446685
86	0.04572548272
87	0.04557260048
88	0.04544890646
89	0.04529351318
90	0.04512800313
91	0.04500244734
92	0.0449038055
93	0.04477174558
94	0.04463326573
95	0.04450855369
96	0.04437592667
97	0.04421191919
98	0.04405681037
99	0.04384395738
100	0.04378056348
101	0.04366882211
102	0.04357103064
103	0.04347214817
104	0.04333225135
105	0.04327794884
106	0.04314745591
107	0.04304554867
108	0.0429238919
109	0.04282569398
110	0.04270952818
111	0.04255352886
112	0.0424701524
113	0.04232163165
114	0.04227163571
115	0.04214214897
116	0.04208802584
117	0.04201902392
118	0.04189278894
119	0.04185662691
120	0.04174181784
121	0.04158863199
122	0.04149917707
123	0.04136895393
124	0.04129629803
125	0.0411430164
126	0.04100371002
127	0.04089894528
128	0.04085409287
129	0.04077119793
130	0.04067830023
131	0.04056129177
132	0.04044123017
133	0.04029764133
134	0.04014624497
135	0.04007712889
136	0.03996798414
137	0.03986172997
138	0.03969109422
139	0.03965359371
140	0.03955249207
141	0.03944627723
142	0.0393090253
143	0.03912993606
144	0.0390874121
145	0.03895567391
146	0.03893104441
147	0.03883874976
148	0.038721208
149	0.03865094098
150	0.03857922282
151	0.03843307252
152	0.03831356768
153	0.03819760969
154	0.03806023175
155	0.03789952987
156	0.03774901831
157	0.0375983201
158	0.03750695196
159	0.03740085819
160	0.03725868333
161	0.03711301542
162	0.03705187725
163	0.03699419249
164	0.03686779595
165	0.03665388985
166	0.03653659607
167	0.03645107184
168	0.0364001339
169	0.03631725531
170	0.0361607968
171	0.03613849194
172	0.03598349086
173	0.0359652474
174	0.03586875059
175	0.0358538675
176	0.03577964029
177	0.03575458844
178	0.03564175411
179	0.03552879534
180	0.03539021723
181	0.03530435553
182	0.03520468006
183	0.03507116075
184	0.03493499404
185	0.03485073525
186	0.03470623811
187	0.03458246091
188	0.03445945665
189	0.03436145744
190	0.03427043336
191	0.03412970096
192	0.03405712653
193	0.03395138013
194	0.03385048748
195	0.03372410158
196	0.03360098564
197	0.03355426143
198	0.03347400735
199	0.03333167693
200	0.03326868393
201	0.03319009015
202	0.03310802805
203	0.03301597594
204	0.03299007054
205	0.03294465035
206	0.03289073096
207	0.03272132431
208	0.03260633962
209	0.03250062914
210	0.03247734885
211	0.03234265968
212	0.03224915694
213	0.03224001291
214	0.03222544725
215	0.03213703698
216	0.03199230235
217	0.03188717596
218	0.03173610046
219	0.03164328024
220	0.03153506181
221	0.03143876556
222	0.03141760284
223	0.03131852815
224	0.03123552028
225	0.0311480783
226	0.03106603139
227	0.03096910392
228	0.03086819363
229	0.03083196627
230	0.03077626666
231	0.03066741949
232	0.03056431967
233	0.03054365902
234	0.03044630437
235	0.03033022393
236	0.03023956578
237	0.03011791795
238	0.03001538676
239	0.02990752759
240	0.02988944046
241	0.02978782811
242	0.02967592369
243	0.02955749561
244	0.02945684636
245	0.02936499814
246	0.0292846776
247	0.0291815224
248	0.02904934158
249	0.02895326725
250	0.02892484789
251	0.02885349524
252	0.02875028394
253	0.02864678386
254	0.02857342207
255	0.02850627307
256	0.02842228254
257	0.02836473481
258	0.02824229107
259	0.02822450436
260	0.02814827374
261	0.02806200614
262	0.0280207049
263	0.02796171422
264	0.02788932146
265	0.02779368227
266	0.02770858971
267	0.02761636647
268	0.02753514009
269	0.02746529847
270	0.02735353304
271	0.0272880132
272	0.02724326911
273	0.02717582481
274	0.0270884715
275	0.02701906398
276	0.02695639077
277	0.02687157219
278	0.02682043288
279	0.02676665362
280	0.02669962662
281	0.0266140904
282	0.02658668299
283	0.02649948344
284	0.02648296564
285	0.02639707934
286	0.02632315012
287	0.02631115132
288	0.02621939578
289	0.02612314388
290	0.02601746341
291	0.0259272661
292	0.02584716376
293	0.02578195187
294	0.02568353479
295	0.02560754716
296	0.02552139428
297	0.02547212221
298	0.02542231807
299	0.02533501132
300	0.02527096364
301	0.02523698884
302	0.02519294949
303	0.02512003183
304	0.02505217303
305	0.02496242675
306	0.02490979841
307	0.02489236673
308	0.02481080321
309	0.02473367312
310	0.02467150958
311	0.02458727168
312	0.02453130408
313	0.0244837898
314	0.0244764978
315	0.02440194014
316	0.02429150006
317	0.02424861473
318	0.02415447561
319	0.02414138977
320	0.02409910824
321	0.02403824961
322	0.02397974216
323	0.02389483793
324	0.02384459919
325	0.02383704755
326	0.02376281665
327	0.02369332109
328	0.02362465494
329	0.02352945477
330	0.02348125857
331	0.02341905434
332	0.02334156603
333	0.02331853802
334	0.02324560081
335	0.02318070298
336	0.02310670523
337	0.02303854973
338	0.02297335098
339	0.02291043023
340	0.02286147478
341	0.02278506144
342	0.02271927107
343	0.02266455059
344	0.02258101403
345	0.02257105795
346	0.02250576684
347	0.02245220358
348	0.02236399979
349	0.02235669786
350	0.02229623136
351	0.02223084619
352	0.02218477558
353	0.02214379438
354	0.02207383631
355	0.02206433567
356	0.02202728319
357	0.02198384591
358	0.02191090025
359	0.02189730467
360	0.0218103367
361	0.0217405883
362	0.02168584907
363	0.02165547631
364	0.02159087744
365	0.0215375974
366	0.02146541116
367	0.02139594662
368	0.02137548384
369	0.02129801501
370	0.02126865621
371	0.02122831014
372	0.02111819221
373	0.02106135413
374	0.02101278074
375	0.02095379072
376	0.02088672732
377	0.02083778769
378	0.02080292761
379	0.02079779767
380	0.02074585345
381	0.02066434958
382	0.0206332782
383	0.02056684521
384	0.02051104747
385	0.02043780112
386	0.02039225183
387	0.02038392759
388	0.02031232665
389	0.02026891735
390	0.0202339577
391	0.02016460354
392	0.02011009155
393	0.02003448551
394	0.02001683935
395	0.01996103518
396	0.01988846862
397	0.01988168
398	0.01983380938
399	0.01982674856
400	0.01977031332
401	0.01973178753
402	0.01967392917
403	0.01961273249
404	0.01956513008
405	0.01950988321
406	0.01946931855
407	0.019431088
408	0.01934612841
409	0.01928836884
410	0.01923204538
411	0.01922812661
412	0.01918278088
413	0.0191230574
414	0.01906605332
415	0.01902527252
416	0.0189813891
417	0.018932301
418	0.018848359
419	0.01878784876
420	0.01874850398
421	0.01867978429
422	0.01863234679
423	0.01862813388
424	0.018579888
425	0.01853877681
426	0.01850385938
427	0.01844937063
428	0.01839366021
429	0.01833264562
430	0.01829317014
431	0.01825047997
432	0.01819830638
433	0.0181304326
434	0.01807940015
435	0.01807529732
436	0.01802544489
437	0.01798110226
438	0.01792110256
439	0.01788069662
440	0.01786041069
441	0.01778130636
442	0.01773261712
443	0.01767759664
444	0.01761970159
445	0.01756560245
446	0.01752774378
447	0.01744644571
448	0.01740815281
449	0.01735581651
450	0.01731265905
451	0.01727715092
452	0.01721800407
453	0.01718689605
454	0.01718338058
455	0.0171562319
456	0.01710215579
457	0.01705760748
458	0.01700652932
459	0.01693179038
460	0.01689887282
461	0.01684866774
462	0.01680928544
463	0.0167848956
464	0.01674578745
465	0.01670640383
466	0.01670319106
467	0.01666705872
468	0.01662937739
469	0.01658597677
470	0.01655778912
471	0.01651966765
472	0.01646606075
473	0.01641932454
474	0.01641326952
475	0.01636957791
476	0.01633371688
477	0.01630547881
478	0.01626176255
479	0.01622173422
480	0.01616921635
481	0.01611686845
482	0.01608225363
483	0.01602172527
484	0.0159792924
485	0.01593183492
486	0.01589014962
487	0.01585792095
488	0.01581017203
489	0.0157682214
