Uke,År,Lokalitetsnummer,Lokalitetsnavn,Sykdom,Status,Fra dato,Til dato,Kommunenummer,Kommune,Fylkesnummer,Fylke,Lat,Lon,ProduksjonsområdeId,Produksjonsområde,UtbruddsId,Subtype,Mistanke-dato,Påvist-dato,Tømt-dato,Avsluttet-dato
8,2021,39477,Hundvika Aust,PD,Påvist,2020-05-11,2021-03-22,4649,STAD,46,Vestland,61.872215,5.953667,4,Nordhordaland til Stadt,PD2020-94,SAV3,2020-05-11,2020-06-15,2021-01-06,2021-03-22
8,2021,39377,Husevågøy,PD,Påvist,2020-01-08,2021-04-24,4602,KINN,46,Vestland,61.916332,5.06495,4,Nordhordaland til Stadt,PD2020-93,SAV3,2020-01-08,2020-03-06,2021-02-21,2021-04-24
8,2021,38997,Ilsøya 2,PD,Mistanke,2020-11-19,2021-05-31,5014,FRØYA,50,Trøndelag,63.664566,8.428517,6,Nordmøre og Sør-Trøndelag,PD2020-152,SAV2,2020-11-19,,2020-12-31,2021-05-31
8,2021,10240,Ilsøya Ø,PD,Påvist,2020-12-21,2022-07-19,5056,HITRA,50,Trøndelag,63.651974,8.88687,6,Nordmøre og Sør-Trøndelag,PD2021-77,SAV2,2020-12-21,2020-12-21,2022-02-14,2022-07-19
8,2021,13236,Indre Oppedal,PD,Påvist,2020-05-05,2021-07-23,4635,GULEN,46,Vestland,61.067883,5.563833,4,Nordhordaland til Stadt,PD2020-48,SAV3,2020-05-05,2020-06-21,2021-03-28,2021-07-23
8,2021,12599,Indre Skjervøy,PD,Mistanke,2020-08-11,2021-04-28,5020,OSEN,50,Trøndelag,64.2858,10.30905,6,Nordmøre og Sør-Trøndelag,PD2020-122,SAV2,2020-08-11,,2021-03-09,2021-04-28
8,2021,12260,Juvika,PD,Påvist,,2021-03-31,1506,MOLDE,15,Møre og Romsdal,62.66477,6.696767,5,Stadt til Hustadvika,PD2020-36,Unknown,,2020-04-09,2021-01-31,2021-03-31
8,2021,13242,Juvika B,PD,Mistanke,2021-02-24,2022-05-09,4648,BREMANGER,46,Vestland,61.895683,5.6331,4,Nordhordaland til Stadt,PD2021-17,SAV3,2021-02-24,2021-04-07,2021-12-17,2022-05-09
8,2021,28517,Kalvehagen,PD,Påvist,,2021-03-01,4630,OSTERØY,46,Vestland,60.592453,5.514747,4,Nordhordaland til Stadt,PD2019-45,SAV3,,2019-06-17,2020-11-30,2021-03-01
8,2021,31757,Kasteberget,ILA,Påvist,2020-07-03,2021-04-16,5413,IBESTAD,54,Troms og Finnmark,68.79125,16.914017,10,Andøya til Senja,ILA2020-15,HPR_del_ILAV,2020-07-03,2020-07-15,2020-12-17,2021-04-16
8,2021,13573,Kistvika,PD,Påvist,,2021-06-14,5055,HEIM,50,Trøndelag,63.384,9.171467,6,Nordmøre og Sør-Trøndelag,PD2018-6,SAV2,,2019-01-04,2020-01-01,2021-06-14
8,2021,11652,Kjeppevikholmen,PD,Påvist,2021-02-09,2022-02-19,4631,ALVER,46,Vestland,60.54283,5.0378,4,Nordhordaland til Stadt,PD2021-10,SAV3,2021-02-09,2021-02-17,2021-11-16,2022-02-19
