Horizon,OLS RMSE,OLS Skill,OLS DMrw,OLS DMols,OLS n,Lasso RMSE,Lasso Skill,Lasso DMrw,Lasso DMols,Lasso n,CatBoost RMSE,CatBoost Skill,CatBoost DMrw,CatBoost DMols,CatBoost n,HTBoost RMSE,HTBoost Skill,HTBoost DMrw,HTBoost DMols,HTBoost n
0w,,,,,,0.0601864132915233,11.193639637499908,1.1592632462899482e-08,,546,0.0597220601363092,11.21182824426008,1.2271905402410915e-16,,1034,0.057952812501641,13.842150482086858,1.0703776342500669e-18,,1034
1w,,,,,,0.0911311187795701,12.91727643315096,6.7793079293584725e-09,,546,0.0865674126667786,13.25321272668959,1.829622938327263e-19,,1034,0.084872453137153,14.951684348098372,1.784560518446254e-18,,1034
2w,,,,,,0.105247276144835,13.56837602071639,4.8546008404637114e-09,,545,0.1000031056803317,13.120687905735672,3.3459638816710736e-14,,1033,0.0977950154746587,15.039001910144412,1.6412486687356122e-14,,1033
1m,0.1161458751516618,16.55094188922722,6.114930579898811e-11,,1031.0,0.1236411611142154,17.265957025663425,1.1387570547963172e-08,0.5073671363228232,543,0.1183708457279376,14.95233411540875,1.4802892172973763e-11,0.8507631549269091,1031,0.116252504498595,16.47433031299238,8.035014708539699e-13,0.525175802915026,1031
3m,0.1753145181538102,24.178444418894863,5.383513928943323e-07,,1021.0,0.1852864424963864,24.741170351640186,1.4537598408399931e-05,0.6379593963419932,534,0.1870408559285928,19.26430379096201,1.2830436723150162e-08,0.902102006461386,1022,0.1852683899619244,20.02938408914261,7.484232365521508e-08,0.8863129049115862,1022
6m,0.1990182234665878,29.95782339783768,1.0428984754464157e-06,,995.0,0.2102851141891343,30.367534497045245,2.1391174687396807e-05,0.6190660683863257,521,0.2202538716964035,22.20640072650055,2.723521118680148e-05,0.9405319117491414,1009,0.2112454507824051,25.38817220353765,2.13771723371625e-07,0.9151576825949614,1009
12m,0.2324190914377225,10.902763645987037,0.0261568041732238,,943.0,0.2320029652948884,8.47280154445289,0.0636420359818236,0.5106498707998018,495,0.2549583248127646,3.2109666142614124,0.2876512939069738,0.9333926013052802,983,0.2541804100150809,3.5062839818333913,0.2330849835146236,0.9677700223647664,983
