Horizon,n_common,Lasso RMSE,CatBoost RMSE,HTBoost RMSE,Best,OLS RMSE
0w,546,0.06018641329152338,0.06082943545138667,0.05817782825451326,HTBoost,
1w,546,0.0911311187795702,0.09254136103123119,0.08898921776504229,HTBoost,
2w,545,0.10524727614483508,0.1070050381327734,0.10217755631966485,HTBoost,
1m,543,0.1236411611142155,0.12729195870700327,0.12327708692947253,HTBoost,0.12361296210864504
3m,534,0.18528644249638646,0.196301882233367,0.19194180229117994,OLS,0.18272953293009528
6m,521,0.21028511418913431,0.22750787813842305,0.22791367780897503,OLS,0.20730797277552074
12m,495,0.2320029652948885,0.2405981877196934,0.24976555909866277,OLS,0.23163672767973117
