Date,Pred,Ret_period,Position,Model_Ret,Naive_Ret,Cum_Model,Cum_Naive
2022-01-05,0.044050835,0.100127576528445,1.0,0.100127576528445,0.100127576528445,0.100127576528445,0.100127576528445
2022-01-12,0.034951888,0.0832722967554921,1.0,0.0832722967554921,0.0832722967554921,0.1833998732839371,0.1833998732839371
2022-01-19,-0.02653721,-0.0109567046382057,0.0,-0.0,-0.0109567046382057,0.1833998732839371,0.1724431686457314
2022-01-26,-0.0010652427,0.0267380868000373,0.0,0.0,0.0267380868000373,0.1833998732839371,0.1991812554457687
2022-02-02,0.04702196,0.128398183724844,1.0,0.128398183724844,0.128398183724844,0.31179805700878105,0.3275794391706127
2022-02-09,0.034009818,0.2301635966772899,1.0,0.2301635966772899,0.2301635966772899,0.541961653686071,0.5577430358479026
2022-02-16,-0.009563156,0.1252362129916697,0.0,0.0,0.1252362129916697,0.541961653686071,0.6829792488395723
2022-02-23,-0.05329704,-0.0820343901314633,0.0,-0.0,-0.0820343901314633,0.541961653686071,0.600944858708109
2022-03-02,-0.06781535,-0.0950143007399937,0.0,-0.0,-0.0950143007399937,0.541961653686071,0.5059305579681153
2022-03-09,-0.020375656,-0.0576897396483158,0.0,-0.0,-0.0576897396483158,0.541961653686071,0.44824081831979945
2022-03-16,0.024282672,0.0386550104844936,1.0,0.0386550104844936,0.0386550104844936,0.5806166641705646,0.48689582880429305
2022-03-23,0.058753934,0.0939652352924547,1.0,0.0939652352924547,0.0939652352924547,0.6745818994630193,0.5808610640967478
2022-03-30,0.042036112,0.1707755657968936,1.0,0.1707755657968936,0.1707755657968936,0.8453574652599128,0.7516366298936413
2022-04-06,-0.001190557,0.2106248945978563,0.0,0.0,0.2106248945978563,0.8453574652599128,0.9622615244914976
2022-04-13,-0.071232915,0.1114416944965297,0.0,0.0,0.1114416944965297,0.8453574652599128,1.0737032189880273
2022-04-20,-0.06732152,0.1352706030954227,0.0,0.0,0.1352706030954227,0.8453574652599128,1.20897382208345
2022-04-27,-0.061969116,0.0648335982695957,0.0,0.0,0.0648335982695957,0.8453574652599128,1.2738074203530458
2022-05-04,-0.11729881,-0.1803388884971291,0.0,-0.0,-0.1803388884971291,0.8453574652599128,1.0934685318559167
2022-05-11,-0.07250539,-0.2089641105892834,0.0,-0.0,-0.2089641105892834,0.8453574652599128,0.8845044212666333
2022-05-18,0.008278301,-0.0177919990157837,1.0,-0.0177919990157837,-0.0177919990157837,0.8275654662441292,0.8667124222508497
2022-05-25,0.009882692,0.0186117039323212,1.0,0.0186117039323212,0.0186117039323212,0.8461771701764504,0.8853241261831708
2022-06-01,-0.074028455,0.0389392476544019,0.0,0.0,0.0389392476544019,0.8461771701764504,0.9242633738375727
2022-06-08,-0.05935899,0.054124615020112,0.0,0.0,0.054124615020112,0.8461771701764504,0.9783879888576847
2022-06-15,-0.08948633,-0.017130026593354,0.0,-0.0,-0.017130026593354,0.8461771701764504,0.9612579622643307
2022-06-22,-0.09380105,-0.0825816154269443,0.0,-0.0,-0.0825816154269443,0.8461771701764504,0.8786763468373864
2022-06-29,-0.06280202,-0.091917697181902,0.0,-0.0,-0.091917697181902,0.8461771701764504,0.7867586496554844
2022-07-06,-0.089027196,-0.0623920436597682,0.0,-0.0,-0.0623920436597682,0.8461771701764504,0.7243666059957161
2022-07-13,-0.07518549,-0.1875255302638381,0.0,-0.0,-0.1875255302638381,0.8461771701764504,0.536841075731878
2022-07-20,-0.082989335,-0.2594589244072631,0.0,-0.0,-0.2594589244072631,0.8461771701764504,0.2773821513246149
2022-07-27,-0.032666292,-0.0860249686972265,0.0,-0.0,-0.0860249686972265,0.8461771701764504,0.1913571826273884
2022-08-03,0.034505565,0.0103598854612974,1.0,0.0103598854612974,0.0103598854612974,0.8565370556377478,0.2017170680886858
2022-08-10,-0.004173995,-0.0968521576961087,0.0,-0.0,-0.0968521576961087,0.8565370556377478,0.1048649103925771
2022-08-17,-0.010419528,-0.1827116049977126,0.0,-0.0,-0.1827116049977126,0.8565370556377478,-0.0778466946051355
2022-08-24,0.010601408,-0.1394815936801645,1.0,-0.1394815936801645,-0.1394815936801645,0.7170554619575833,-0.2173282882853
2022-08-31,-0.01892144,0.0162524307041653,0.0,0.0,0.0162524307041653,0.7170554619575833,-0.2010758575811347
2022-09-07,0.08937093,0.0852964846220851,1.0,0.0852964846220851,0.0852964846220851,0.8023519465796684,-0.1157793729590496
2022-09-14,0.035554755,0.0350743023485167,1.0,0.0350743023485167,0.0350743023485167,0.8374262489281851,-0.08070507061053289
2022-09-21,0.032131076,0.0135083500247921,1.0,0.0135083500247921,0.0135083500247921,0.8509345989529772,-0.06719672058574079
2022-09-28,0.0123740975,0.0809708273210416,1.0,0.0809708273210416,0.0809708273210416,0.9319054262740187,0.013774106735300815
2022-10-05,0.10191163,0.1259057057578854,1.0,0.1259057057578854,0.1259057057578854,1.0578111320319041,0.13967981249318623
2022-10-12,0.07557395,0.0380820497758183,1.0,0.0380820497758183,0.0380820497758183,1.0958931818077224,0.17776186226900453
2022-10-19,0.0741232,-0.0262282378235854,1.0,-0.0262282378235854,-0.0262282378235854,1.069664943984137,0.15153362444541912
2022-10-26,0.06900773,-0.0452853150271019,1.0,-0.0452853150271019,-0.0452853150271019,1.024379628957035,0.10624830941831723
2022-11-02,0.08352712,-0.0540116593206718,1.0,-0.0540116593206718,-0.0540116593206718,0.9703679696363633,0.05223665009764543
2022-11-09,0.08690623,0.0420369540039571,1.0,0.0420369540039571,0.0420369540039571,1.0124049236403203,0.09427360410160253
2022-11-16,0.09248065,0.1940406849311129,1.0,0.1940406849311129,0.1940406849311129,1.2064456085714332,0.28831428903271544
2022-11-23,0.08172601,0.153887928822745,1.0,0.153887928822745,0.153887928822745,1.3603335373941783,0.44220221785546043
2022-11-30,0.026898336,-0.0193133668023994,1.0,-0.0193133668023994,-0.0193133668023994,1.3410201705917788,0.422888851053061
2022-12-07,0.07571792,-0.0552268449270973,1.0,-0.0552268449270973,-0.0552268449270973,1.2857933256646814,0.3676620061259637
2022-12-14,0.08676517,-0.0413655975662079,1.0,-0.0413655975662079,-0.0413655975662079,1.2444277280984735,0.32629640855975584
2022-12-21,0.08969863,0.1045655317079701,1.0,0.1045655317079701,0.1045655317079701,1.3489932598064436,0.43086194026772595
2022-12-28,0.104001,0.1631786036426818,1.0,0.1631786036426818,0.1631786036426818,1.5121718634491255,0.5940405439104077
