Participant,Horizon,Turnover_pa,SR_0bp,SR_10bp,SR_25bp,SR_50bp
Trader,1w,14.588235294117647,0.2163498946102767,0.21072865074264846,0.2022504351807295,0.18800797224145288
Trader,2w,13.945454545454545,0.22162233451569546,0.2163016812330205,0.20827390251635322,0.19477981443750852
Trader,1m,11.211009174311927,0.23210859160617692,0.2280746408109582,0.22200118883678732,0.21182473923234738
Exporter,3m,2.25,0.3125756120553392,0.31074921120281784,0.3080065573128173,0.303427929118288
Exporter,6m,1.8260869565217392,0.10261167841291258,0.10132450847261718,0.09939545624199701,0.09618515878010409
Farmer,12m,2.0,0.40255028418394384,0.3999734632472898,0.3960993553394761,0.3896192434274714
