Date,Pred,Ret_period,Position,Model_Ret,Hold_Ret,Cum_Model,Cum_Hold
2022-01-05,-0.0913586089326767,0.11001038355552939,0.0,0.0,0.11001038355552939,0.0,0.11001038355552939
2022-02-02,-0.1966828658448253,0.14812920654582662,0.0,0.0,0.14812920654582662,0.0,0.258139590101356
2022-03-02,-0.4252887937672421,0.1820869802036231,0.0,0.0,0.1820869802036231,0.0,0.44022657030497914
2022-04-06,-0.2968049119799615,0.1762752927661254,0.0,0.0,0.1762752927661254,0.0,0.6165018630711045
2022-05-04,-0.4820127006468311,-0.190352406656962,0.0,-0.0,-0.190352406656962,0.0,0.4261494564141426
2022-06-01,-0.2623966726009993,-0.0540782366091352,0.0,-0.0,-0.0540782366091352,0.0,0.3720712198050074
2022-07-06,-0.1213655897300477,-0.2735504989610646,0.0,-0.0,-0.2735504989610646,0.0,0.09852072084394281
2022-08-03,0.2150905748677778,-0.1787785217359133,1.0,-0.1837785217359133,-0.1787785217359133,-0.1837785217359133,-0.08025780089197049
2022-09-07,0.4480621554135652,0.1160451296695583,1.0,0.1160451296695583,0.1160451296695583,-0.06773339206635501,0.03578732877758781
2022-10-05,0.5171024284174806,-0.0072032652512835985,1.0,-0.0072032652512835985,-0.0072032652512835985,-0.0749366573176386,0.02858406352630421
2022-11-02,0.4000491132401351,0.15280086733058432,1.0,0.15280086733058432,0.15280086733058432,0.07786421001294572,0.18138493085688853
2022-12-07,0.1756762751775852,0.12181300607647391,1.0,0.12181300607647391,0.12181300607647391,0.19967721608941963,0.30319793693336244
2023-01-04,-0.0518063522616235,0.019098959398378995,0.0,-0.005,0.019098959398378995,0.19467721608941962,0.3222968963317414
2023-02-01,-0.1008569408946764,0.3102209182074079,0.0,0.0,0.3102209182074079,0.19467721608941962,0.6325178145391492
2023-03-01,-0.3797612506335145,-0.0957377250156766,0.0,-0.0,-0.0957377250156766,0.19467721608941962,0.5367800895234727
2023-04-05,-0.3072433320488048,0.0051345721870691904,0.0,0.0,0.0051345721870691904,0.19467721608941962,0.5419146617105418
2023-05-03,-0.2721831201618496,-0.0006182926487659016,0.0,-0.0,-0.0006182926487659016,0.19467721608941962,0.5412963690617759
2023-06-07,-0.2358964608474043,-0.16255011404271702,0.0,-0.0,-0.16255011404271702,0.19467721608941962,0.3787462550190589
2023-07-05,0.0914113606096098,-0.1857786691777095,1.0,-0.1907786691777095,-0.1857786691777095,0.003898546911710127,0.1929675858413494
2023-08-02,0.2428802439717631,-0.1002415831990609,1.0,-0.1002415831990609,-0.1002415831990609,-0.09634303628735078,0.0927260026422885
2023-09-06,0.4609391800375679,0.12191023264675391,1.0,0.12191023264675391,0.12191023264675391,0.025567196359403133,0.2146362352890424
2023-10-04,0.3743645610003222,-0.04304969039037851,1.0,-0.04304969039037851,-0.04304969039037851,-0.017482494030975376,0.1715865448986639
2023-11-01,0.3661231229193957,0.07333127308554921,1.0,0.07333127308554921,0.07333127308554921,0.05584877905457383,0.2449178179842131
2023-12-06,0.3097278645922522,0.3455977752336386,1.0,0.3455977752336386,0.3455977752336386,0.4014465542882124,0.5905155932178517
2024-01-03,-0.1049338625062522,-0.0758110591670029,0.0,-0.005,-0.0758110591670029,0.3964465542882124,0.5147045340508488
2024-02-07,-0.236166028991667,0.039060167577188595,0.0,0.0,0.039060167577188595,0.3964465542882124,0.5537647016280374
2024-03-06,-0.372462639408352,0.1642713198660566,0.0,0.0,0.1642713198660566,0.3964465542882124,0.718036021494094
2024-04-03,-0.3872541986481033,-0.057445909104791,0.0,-0.0,-0.057445909104791,0.3964465542882124,0.660590112389303
2024-05-01,-0.3074125886525331,-0.3659488590526595,0.0,-0.0,-0.3659488590526595,0.3964465542882124,0.2946412533366435
2024-06-05,-0.0755267827904282,-0.16110986071212088,0.0,-0.0,-0.16110986071212088,0.3964465542882124,0.1335313926245226
2024-07-03,0.2000406350170154,-0.010281150711488503,1.0,-0.015281150711488504,-0.010281150711488503,0.3811654035767239,0.1232502419130341
2024-08-07,0.0246283674973355,-0.047971817050694004,1.0,-0.047971817050694004,-0.047971817050694004,0.33319358652602993,0.0752784248623401
2024-09-04,0.0246283674973355,-0.0390517609381974,1.0,-0.0390517609381974,-0.0390517609381974,0.29414182558783253,0.0362266639241427
2024-10-02,0.0246283674973355,0.0744634830998844,1.0,0.0744634830998844,0.0744634830998844,0.3686053086877169,0.1106901470240271
2024-11-06,0.5440867640555932,0.1472148664869975,1.0,0.1472148664869975,0.1472148664869975,0.5158201751747145,0.2579050135110246
2024-12-04,0.3429774574598495,0.42853993327796647,1.0,0.42853993327796647,0.42853993327796647,0.9443601084526809,0.686444946788991
2025-01-01,0.0346192786710555,-0.4040905374449977,1.0,-0.4040905374449977,-0.4040905374449977,0.5402695710076832,0.28235440934399336
2025-02-05,-0.0751927319695183,-0.0492710490067826,0.0,-0.005,-0.0492710490067826,0.5352695710076832,0.23308336033721078
2025-03-05,-0.1694957751522326,-0.1356638095976566,0.0,-0.0,-0.1356638095976566,0.5352695710076832,0.09741955073955419
2025-04-02,-0.1187762699468551,-0.03760791167638017,0.0,-0.0,-0.03760791167638017,0.5352695710076832,0.05981163906317402
2025-05-07,0.0244916719241761,-0.0022906237646304894,1.0,-0.0072906237646304895,-0.0022906237646304894,0.5279789472430527,0.05752101529854353
2025-06-04,0.1797341488865218,-0.05706567644268369,1.0,-0.05706567644268369,-0.05706567644268369,0.47091327080036904,0.0004553388558598409
2025-07-02,0.289688198514627,-0.1626081952867205,1.0,-0.1626081952867205,-0.1626081952867205,0.30830507551364855,-0.16215285643086064
2025-08-06,0.6491440080885292,0.16533588299098217,1.0,0.16533588299098217,0.16533588299098217,0.4736409585046307,0.003183026560121538
2025-09-03,0.5299156443520561,0.12475357326356021,1.0,0.12475357326356021,0.12475357326356021,0.5983945317681909,0.12793659982368175
2025-10-01,0.3217842415062846,-0.0449437107257768,1.0,-0.0449437107257768,-0.0449437107257768,0.553450821042414,0.08299288909790495
