Participant,Horizon,Model,n,Mean_Model,SD_Model,SR_Model,Mean_Hold,SD_Hold,SR_Hold,t_stat
Trader,1w,HTBoost,221,0.009130662858762332,0.0485652961941215,0.18800797224145288,0.0012874522899514,0.071542481165432,0.017995633768618482,2.1186514343413942
Trader,2w,HTBoost,220,0.009501654437509879,0.04878151498885583,0.19477981443750852,0.0014694831269848314,0.07165381251128378,0.020508094063430647,2.242628215708567
Trader,1m,OLS,218,0.008601597911699154,0.04739192322569325,0.18149923713236962,0.001712505447475783,0.07187749842370943,0.02382533456271341,1.8692188860634669
Exporter,3m,OLS,48,0.034366607450903135,0.11326118709891633,0.303427929118288,0.006645663262216467,0.16481152482746844,0.04032280672831238,1.6344564346648123
Exporter,6m,OLS,46,0.012031539587878566,0.12508727687797186,0.09618515878010409,0.001804193241258802,0.1672329117863101,0.010788505814957026,0.5755880320417919
Farmer,12m,CatBoost,14,0.07149303411547916,0.18349461768509331,0.3896192434274714,0.012593346038223466,0.3557593041129399,0.03539850087582126,1.7400776198220478
