Date,Pred,Ret_period,Position,Model_Ret,Hold_Ret,Cum_Model,Cum_Hold
2022-01-05,0.048181307,0.0831326026852776,1.0,0.0781326026852776,0.0831326026852776,0.0781326026852776,0.0831326026852776
2022-01-12,0.045839492,0.0001396940702145,1.0,0.0001396940702145,0.0001396940702145,0.07827229675549209,0.0832722967554921
2022-01-19,-0.0059000133,-0.0110963987084202,0.0,-0.005,-0.0110963987084202,0.07327229675549209,0.07217589804707189
2022-01-26,0.015116332,0.0378344855084575,1.0,0.0328344855084575,0.0378344855084575,0.1061067822639496,0.11001038355552939
2022-02-02,0.07300905,0.0905636982163864,1.0,0.0905636982163864,0.0905636982163864,0.196670480480336,0.2005740817719158
2022-02-09,0.059923552,0.1395998984609034,1.0,0.1395998984609034,0.1395998984609034,0.3362703789412394,0.3401739802328192
2022-02-16,0.010319164,-0.0143636854692337,1.0,-0.0143636854692337,-0.0143636854692337,0.3219066934720057,0.3258102947635855
2022-02-23,-0.05113584,-0.0676707046622295,0.0,-0.005,-0.0676707046622295,0.3169066934720057,0.25813959010135595
2022-03-02,-0.07798833,-0.0273435960777641,0.0,-0.0,-0.0273435960777641,0.3169066934720057,0.23079599402359186
2022-03-09,-0.017227937,-0.0303461435705516,0.0,-0.0,-0.0303461435705516,0.3169066934720057,0.20044985045304026
2022-03-16,0.034583684,0.0690011540550452,1.0,0.0640011540550452,0.0690011540550452,0.38090784752705087,0.26945100450808546
2022-03-23,0.07380895,0.0249640812374094,1.0,0.0249640812374094,0.0249640812374094,0.40587192876446027,0.29441508574549485
2022-03-30,0.05983559,0.1458114845594842,1.0,0.1458114845594842,0.1458114845594842,0.5516834133239444,0.440226570304979
2022-04-06,0.005348292,0.0648134100383721,1.0,0.0648134100383721,0.0648134100383721,0.6164968233623165,0.5050399803433512
2022-04-13,-0.075025745,0.0466282844581575,0.0,-0.005,0.0466282844581575,0.6114968233623165,0.5516682648015087
2022-04-20,-0.07170185,0.0886423186372651,0.0,0.0,0.0886423186372651,0.6114968233623165,0.6403105834387738
2022-04-27,-0.076250255,-0.0238087203676693,0.0,-0.0,-0.0238087203676693,0.6114968233623165,0.6165018630711044
2022-05-04,-0.13515186,-0.1565301681294597,0.0,-0.0,-0.1565301681294597,0.6114968233623165,0.45997169494164475
2022-05-11,-0.09122699,-0.0524339424598236,0.0,-0.0,-0.0524339424598236,0.6114968233623165,0.40753775248182117
2022-05-18,-0.0058504166,0.0346419434440399,0.0,0.0,0.0346419434440399,0.6114968233623165,0.44217969592586104
2022-05-25,-4.639711e-06,-0.0160302395117186,0.0,-0.0,-0.0160302395117186,0.6114968233623165,0.4261494564141424
2022-06-01,-0.07695675,0.0549694871661206,0.0,0.0,0.0549694871661206,0.6114968233623165,0.481118943580263
2022-06-08,-0.073688,-0.0008448721460085,0.0,-0.0,-0.0008448721460085,0.6114968233623165,0.48027407143425455
2022-06-15,-0.09926745,-0.0162851544473454,0.0,-0.0,-0.0162851544473454,0.6114968233623165,0.46398891698690914
2022-06-22,-0.11364953,-0.0662964609795988,0.0,-0.0,-0.0662964609795988,0.6114968233623165,0.39769245600731035
2022-06-29,-0.09287645,-0.0256212362023031,0.0,-0.0,-0.0256212362023031,0.6114968233623165,0.37207121980500724
2022-07-06,-0.11691199,-0.036770807457465,0.0,-0.0,-0.036770807457465,0.6114968233623165,0.33530041234754226
2022-07-13,-0.103435226,-0.150754722806373,0.0,-0.0,-0.150754722806373,0.6114968233623165,0.18454568954116926
2022-07-20,-0.11813139,-0.1087042016008901,0.0,-0.0,-0.1087042016008901,0.6114968233623165,0.07584148794027916
2022-07-27,-0.057148352,0.0226792329036635,0.0,0.0,0.0226792329036635,0.6114968233623165,0.09852072084394266
2022-08-03,0.0155252665,-0.0123193474423661,1.0,-0.0173193474423661,-0.0123193474423661,0.5941774759199504,0.08620137340157656
2022-08-10,-0.005898895,-0.0845328102537426,0.0,-0.005,-0.0845328102537426,0.5891774759199504,0.0016685631478339652
2022-08-17,-0.016402518,-0.09817879474397,0.0,-0.0,-0.09817879474397,0.5891774759199504,-0.09651023159613603
2022-08-24,0.004216841,-0.0413027989361944,1.0,-0.0463027989361944,-0.0413027989361944,0.542874676983756,-0.13781303053233043
2022-08-31,-0.015465127,0.0575552296403598,0.0,-0.005,0.0575552296403598,0.537874676983756,-0.08025780089197063
2022-09-07,0.06938006,0.0277412549817253,1.0,0.0227412549817253,0.0277412549817253,0.5606159319654813,-0.05251654591024532
2022-09-14,0.052493017,0.0073330473667914,1.0,0.0073330473667914,0.0073330473667914,0.5679489793322727,-0.04518349854345392
2022-09-21,0.04646069,0.0061753026580007,1.0,0.0061753026580007,0.0061753026580007,0.5741242819902734,-0.03900819588545322
2022-09-28,0.02859748,0.0747955246630409,1.0,0.0747955246630409,0.0747955246630409,0.6489198066533144,0.03578732877758768
2022-10-05,0.10449187,0.0511101810948444,1.0,0.0511101810948444,0.0511101810948444,0.7000299877481588,0.08689750987243208
2022-10-12,0.092694305,-0.0130281313190261,1.0,-0.0130281313190261,-0.0130281313190261,0.6870018564291327,0.07386937855340599
2022-10-19,0.09153381,-0.0132001065045592,1.0,-0.0132001065045592,-0.0132001065045592,0.6738017499245735,0.060669272048846784
