Y,Horizon,Nowcast,Loss,CV RMSE,CV RW RMSE,CV MAE,CV RW MAE,CV R2,CV RW R2,CV Hit,Hold RMSE,Hold RW RMSE,Hold MAE,Hold RW MAE,Hold R2,Hold RW R2,Hold Hit,Hold DM,Hold DM p,Hold DM OLS,Hold DM OLS p,Depth,n_train,n_holdout
Y 0w ∆ Salmon (NOK/KG),0w,True,MAE,0.06232911711264082,0.06739648035966853,0.046854487356216584,0.05150847214382985,0.14446727715882202,-0.00029732852671804366,0.6484687083888149,0.06315381474229129,0.0714018360072492,0.04905338897944001,0.05398156708294468,0.217404058392915,-0.00036196807928479124,0.6486486486486487,4.030912762532772,3.8237725012300595e-05,,,4,834,222
Y 1w ∆ Salmon (NOK/KG),1w,False,MAE,0.08751579523369778,0.09743558329662089,0.06924794519816045,0.07553133267426532,0.192828548599284,-0.000525322902961145,0.6287425149700598,0.10214626628482391,0.11411516555692881,0.07840839432422947,0.08742791342413689,0.19841700848916888,-0.0004381155893622424,0.6576576576576577,4.999392688423961,5.850335638513678e-07,,,2,834,222
Y 2w ∆ Salmon (NOK/KG),2w,False,MAE,0.10128034155701301,0.11095955751732274,0.07895051566533061,0.08621911450036954,0.16598972386015032,-0.0010378979302114733,0.6407185628742516,0.1257889192628572,0.13756920096596514,0.09855364242053587,0.10934928445248411,0.1633935252887725,-0.0006423496109548843,0.6832579185520362,5.0597432106322096,4.4251714652748526e-07,,,2,834,221
Y 1m ∆ Salmon (NOK/KG),1m,False,MAE,0.12106724090992757,0.13524737520248914,0.09544266821403011,0.10669002273982325,0.19714530717801004,-0.001939159515384592,0.6676646706586826,0.1434955341342873,0.16864245421523782,0.1090914015006853,0.1307051049875766,0.27499957642198913,-0.0013717091138236714,0.7351598173515982,4.892536719611917,9.66713142995725e-07,-0.9539259468351492,0.8294111671077116,5,834,219
Y 3m ∆ Salmon (NOK/KG),3m,False,MAE,0.1795720766038961,0.21615096570286452,0.14481431834278366,0.17412306943533484,0.3043147424350028,-0.007974512410610757,0.7140575079872205,0.2457080532879715,0.30234015013554205,0.20394349052032765,0.25795154613771815,0.33922579566909905,-0.00047432307705008725,0.7666666666666667,4.8109079274574,1.4371453726690396e-06,-1.0421021869407232,0.8507158802424326,3,834,210
Y 6m ∆ Salmon (NOK/KG),6m,False,MAE,0.20791142271119054,0.26512715241520973,0.17057051173397964,0.21603826296922135,0.3541066825676342,-0.05029791999819855,0.7338129496402878,0.2922565611204003,0.3622337186118584,0.242927511495311,0.3142267283733311,0.34858339789489723,-0.0007095210327547896,0.766497461928934,2.40355795353327,0.008584001771419023,-1.4412984410517682,0.9244519365615457,2,834,197
Y 12m ∆ Salmon (NOK/KG),12m,False,MAE,0.22483093649033653,0.2542392095530086,0.18111562437014947,0.20569308599402383,0.1948393047154391,-0.02956906855797814,0.6834532374100719,0.2171236291643132,0.21328358636429662,0.17130833063553316,0.16643844956718357,-0.04404831669992659,-0.007444866211792078,0.6491228070175439,-0.15681399581963032,0.5622112389669703,1.2117433155443789,0.11364610820600567,2,834,171
