Y,Horizon,Nowcast,CV RMSE,CV RW RMSE,CV R2,CV Hit,Hold RMSE,Hold RW RMSE,Hold R2,Hold Hit,Hold DM,Hold DM p,Best Alpha,Nonzero Coefs,Total Features,n_train,n_holdout
Y 0w ∆ Salmon (NOK/KG),0w,True,0.06173420448586101,0.06739648035966853,0.1607209407303365,0.6231691078561917,0.06472937791277035,0.07088848279741408,0.1656224442019365,0.6411483253588517,-3.2730898415406027,0.0010637865884416985,0.005214008287999685,6,94,834,209
Y 1w ∆ Salmon (NOK/KG),1w,False,0.08547692510447386,0.09743558329662089,0.23000006663240213,0.6272455089820359,0.09891826950461621,0.11342683997998303,0.23876786802390004,0.6650717703349283,-4.269041959759405,1.963143401891299e-05,0.008302175681319744,6,94,834,209
Y 2w ∆ Salmon (NOK/KG),2w,False,0.09639793222174363,0.11095955751732274,0.2444616322406521,0.6541916167664671,0.11637960325472879,0.1377234568209111,0.28532256908206477,0.6602870813397129,-5.4618951723173845,4.710782371466549e-08,0.008302175681319744,10,94,834,209
Y 1m ∆ Salmon (NOK/KG),1m,False,0.11771294311128172,0.13524737520248914,0.24101691590556817,0.6826347305389222,0.1426526365315822,0.17182357702767728,0.3096609046137643,0.7101449275362319,-6.465341374398309,1.010703772490363e-10,0.007390722033525776,17,94,834,207
Y 3m ∆ Salmon (NOK/KG),3m,False,0.18249944635286933,0.21615096570286452,0.28144785048377086,0.6629392971246006,0.23913109728838491,0.31026133546482304,0.4057931343412321,0.7525252525252525,-8.130995626734077,4.2577870872159857e-16,0.01873817422860383,15,94,834,198
Y 6m ∆ Salmon (NOK/KG),6m,False,0.23771779482799776,0.26512715241520973,0.15564033956797996,0.6726618705035972,0.25388778388525013,0.36415212933214813,0.5105752525535671,0.8432432432432433,-7.544421000834505,4.543013196331159e-14,0.04750810162102798,7,94,834,185
Y 12m ∆ Salmon (NOK/KG),12m,False,0.22889947301234248,0.2662563412831267,0.1680552481380978,0.7081339712918661,0.23884277780209429,0.21873139129597377,-0.20234325409074128,0.4716981132075472,4.302486323652979,1.6889209888318924e-05,0.07564633275546291,3,94,834,159
