Y,Horizon,Nowcast,Best Params,CV RMSE,CV RW RMSE,CV R2,CV Hit,Hold RMSE,Hold RW RMSE,Hold R2,Hold Hit,Hold DM,Hold DM p,n_train,n_holdout
Y 0w ∆ Salmon (NOK/KG),0w,True,"{'depth': 4, 'learning_rate': np.float64(0.05), 'l2_leaf_reg': np.int64(5), 'rsm': np.float64(0.8)}",0.0617865072219844,0.06739648035966853,0.15929822258980664,0.6537949400798935,0.06456572100141483,0.07088848279741408,0.16983626595016432,0.6411483253588517,-3.773291547074372,0.00016110783449562404,834,209
Y 1w ∆ Salmon (NOK/KG),1w,False,"{'depth': 4, 'learning_rate': np.float64(0.02), 'l2_leaf_reg': np.int64(3), 'rsm': np.float64(0.5)}",0.0876732957881542,0.09743558329662089,0.1899206312912025,0.6197604790419161,0.10193611878491485,0.11342683997998303,0.19161121617545718,0.6842105263157895,-4.399993865725508,1.0825393827468218e-05,834,209
Y 2w ∆ Salmon (NOK/KG),2w,False,"{'depth': 4, 'learning_rate': np.float64(0.02), 'l2_leaf_reg': np.int64(5), 'rsm': np.float64(0.5)}",0.1009834600234925,0.11095955751732274,0.17087200110341982,0.6452095808383234,0.1186464542396056,0.1377234568209111,0.2572103382378734,0.69377990430622,-5.739102355205854,9.517968478118844e-09,834,209
Y 1m ∆ Salmon (NOK/KG),1m,False,"{'depth': 5, 'learning_rate': np.float64(0.05), 'l2_leaf_reg': np.int64(5), 'rsm': np.float64(0.8)}",0.11981929922919916,0.13524737520248914,0.21361139715364819,0.657185628742515,0.14376150199444696,0.17182357702767728,0.29888692441091436,0.7004830917874396,-6.509397867782677,7.545263449674046e-11,834,207
Y 3m ∆ Salmon (NOK/KG),3m,False,"{'depth': 5, 'learning_rate': np.float64(0.1), 'l2_leaf_reg': np.int64(10), 'rsm': np.float64(1.0)}",0.1766109921348606,0.21615096570286452,0.3270688212506805,0.7156549520766773,0.24694157004948442,0.31026133546482304,0.36634340073038485,0.7525252525252525,-10.612765454928075,2.59939462347836e-26,834,198
Y 6m ∆ Salmon (NOK/KG),6m,False,"{'depth': 6, 'learning_rate': np.float64(0.1), 'l2_leaf_reg': np.int64(20), 'rsm': np.float64(0.6)}",0.2010161600073549,0.26512715241520973,0.39623763849579274,0.7464028776978417,0.2811367890644751,0.36415212933214813,0.3998805860139213,0.7783783783783784,-9.89618853104506,4.3244280191103794e-23,834,185
Y 12m ∆ Salmon (NOK/KG),12m,False,"{'depth': 5, 'learning_rate': np.float64(0.02), 'l2_leaf_reg': np.int64(10), 'rsm': np.float64(1.0)}",0.25988515918989624,0.2662563412831267,-0.0724272981666152,0.507177033492823,0.18343605248523787,0.21873139129597377,0.2907919837717745,0.7044025157232704,-3.7725966098559733,0.00016155737780136268,834,159
