Y,Horizon,Loss,Pooled RMSE,Pooled MAE,Pooled R2,Pooled Hit,RW RMSE,RW MAE,Skill%,MAE Skill%,DM stat (RW),DM p (RW),DM stat (OLS),DM p (OLS),n_obs,n_indep
Y 0w ∆ Salmon (NOK/KG),0w,MAE,0.06728889549945385,0.05114922632754062,-0.0008663731446227896,0.5106382978723404,0.06726353179183285,0.05112425152822379,-0.037707962911470716,-0.04885117839434905,-0.5790516958111432,0.7186597341439344,,,1034,1034.0
Y 1w ∆ Salmon (NOK/KG),1w,MAE,0.09990725839417032,0.0774026461096448,-0.002470513688433318,0.4738878143133462,0.09979322046133353,0.07718478862637443,-0.11427422855943004,-0.2822544275206118,-1.0760046985370053,0.8589118042826744,,,1034,1034.0
Y 2w ∆ Salmon (NOK/KG),2w,MAE,0.11508684837711879,0.0901804792215049,1.4230602197518039e-05,0.4995159728944821,0.11510577520667756,0.09007216817025997,0.016442988655251956,-0.12024918845097154,0.1164490472303479,0.45365966097611604,,,1033,516.5
Y 1m ∆ Salmon (NOK/KG),1m,MAE,0.13632512292149784,0.10644970854324937,0.03996293638281223,0.5383123181377304,0.13918176883133462,0.10874459559782004,2.0524569660402614,2.110345844733341,3.3119134096702485,0.00047939928971579767,-5.939802669440888,0.999999998050649,1031,257.8
Y 3m ∆ Salmon (NOK/KG),3m,MAE,0.23081111672906712,0.1861652440548187,0.005100979967322394,0.5225048923679061,0.23167058031470159,0.1864914702106489,0.37098520859530915,0.17492819133321236,0.6408137598546939,0.2608937457346956,-4.861129672992333,0.9999993246359804,1022,78.6
Y 6m ∆ Salmon (NOK/KG),6m,MAE,0.2835174116570815,0.22993217811804575,-0.011064914307081342,0.557978196233895,0.28312595605977253,0.22966477935905294,-0.13826199574098474,-0.11643002455103968,-0.10269260348587517,0.5408863152183752,-4.9097224701691236,0.9999994671883508,1009,38.8
Y 12m ∆ Salmon (NOK/KG),12m,MAE,0.2596419311477053,0.20499229929432353,-0.008690231271425208,0.6002034587995931,0.2634165420339155,0.21326791461047684,1.4329437540502865,3.880384600406639,0.3157220858280879,0.37614027395903277,-2.0216232850239897,0.978251192396301,983,18.9
